t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.4440375,0.4525251,0.47530603,0.44728756,0.28750736,0.46375036,0.45640057,0.46006256,0.47019416,0.4629495,0.4597523,0.46960908,0.46850154,0.44764692,0.22657233,0.43466133,0.4397674,0.46884915,0.46959677,0.32781026,0.44189158,0.3334712,0.4508542,0.46461815,0.21555232,0.4681217,0.46846685,0.45711526,0.47165805,0.38547274,0.5698112,0.26701525
1,0.42023224,0.435814,0.4623034,0.43370458,0.16958193,0.4476682,0.44126767,0.44161966,0.4552169,0.44499058,0.44259092,0.45457274,0.45325717,0.42888588,0.11119232,0.41886017,0.42177665,0.4548534,0.45325187,0.16598894,0.40184706,0.2935071,0.43224695,0.44746044,0.10451273,0.45157427,0.4510957,0.43447694,0.45534047,0.36931106,0.5811613,0.14668597
2,0.4368798,0.4445087,0.4671921,0.44693738,0.24130361,0.45744818,0.4511708,0.45209265,0.46073005,0.45505172,0.45351171,0.46157512,0.46261698,0.4423774,0.19004248,0.4303706,0.4349373,0.46232194,0.46240672,0.20697175,0.42969567,0.33787048,0.44425368,0.45588264,0.18580183,0.45847276,0.45752412,0.44790095,0.46371254,0.39456362,0.56223667,0.21289764
3,0.4293102,0.4324394,0.46248326,0.43347597,0.27469254,0.45175555,0.4411593,0.4457604,0.45491323,0.44985074,0.4466006,0.4561651,0.4584996,0.431532,0.21994059,0.40857178,0.41954812,0.45593736,0.4597445,0.26304865,0.43383735,0.3096368,0.43484148,0.44992086,0.2049811,0.45292306,0.45231462,0.44438192,0.46135604,0.3635453,0.5826607,0.22584198
4,0.43493924,0.43970034,0.46524844,0.44093886,0.27453923,0.45521235,0.44691768,0.4497687,0.45878136,0.4531767,0.45063344,0.45930466,0.4610064,0.43747613,0.21244349,0.4180214,0.42723504,0.45920077,0.46193188,0.2631621,0.43328887,0.31983545,0.44122505,0.4533663,0.19913676,0.4565773,0.4556699,0.4472019,0.4634167,0.37679148,0.5751671,0.2265944
5,0.45650053,0.4604523,0.4753878,0.46468675,0.31021696,0.4692623,0.46568006,0.46522352,0.47107804,0.46716446,0.46652144,0.47133505,0.47297645,0.45915854,0.25953802,0.4493829,0.45372438,0.4724397,0.47266772,0.26838458,0.45126104,0.3819563,0.4613684,0.4671868,0.26120603,0.46919757,0.4677113,0.46215603,0.4733595,0.4223954,0.542671,0.2850917
6,0.4319568,0.4385603,0.4642601,0.44044185,0.24069053,0.4535475,0.446146,0.4477928,0.45756227,0.4512538,0.44882494,0.45803672,0.45925668,0.4362093,0.1857146,0.4205688,0.4272961,0.45850533,0.45959872,0.21508837,0.42513287,0.3245821,0.4392981,0.45197242,0.1765087,0.45506677,0.45410022,0.44406682,0.4611131,0.38036275,0.57187074,0.20053793
7,0.47491264,0.47617137,0.48417535,0.48223737,0.35710007,0.48058304,0.48017108,0.47740683,0.48197293,0.47908533,0.47898045,0.4813551,0.48313755,0.47544494,0.32200608,0.46869582,0.47228834,0.4834644,0.48236328,0.31122962,0.46319434,0.42740527,0.47733456,0.47842303,0.32151428,0.47989362,0.47782665,0.47535026,0.4824981,0.45647857,0.5213205,0.33439496
8,0.41315246,0.42080745,0.45581174,0.41932005,0.21277061,0.44126773,0.42983815,0.4347075,0.4473085,0.43923718,0.43486995,0.44789723,0.44875503,0.41763923,0.15442508,0.39560157,0.4049658,0.44717044,0.45004857,0.21324511,0.40539286,0.2714166,0.42171577,0.44046825,0.1382589,0.4446182,0.44429097,0.43108895,0.45254892,0.34024882,0.59840655,0.15498143
9,0.4955195,0.49289897,0.49274343,0.50023955,0.45665818,0.49341148,0.4951857,0.49174562,0.49267954,0.49234143,0.49310318,0.49184066,0.4942457,0.4936132,0.43485713,0.4889647,0.49232984,0.49386162,0.49354625,0.40494105,0.48737007,0.47804183,0.4951069,0.49074674,0.4404736,0.49117333,0.488911,0.49118644,0.49292138,0.49580407,0.5007891,0.42726272
