t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16,0.49858305,0.50064373,0.50035626,0.49936518,0.48065114,0.49609134,0.4988286,0.4978123,0.50127786,0.49938777,0.49713993,0.4982902,0.49704915,0.49835414,0.53592294,0.5002171,0.49796566,0.498933,0.49768263,0.5214129,0.50407225,0.50977606,0.496981,0.49916828,0.52571386,0.4996102,0.50070864,0.49854144,0.49869692,0.50024474,0.49445143,0.5049553
17,0.47625425,0.4783583,0.49724826,0.46795404,0.39635924,0.4777005,0.47835967,0.47264126,0.48966816,0.48400098,0.47503093,0.49151626,0.48524022,0.47490382,0.6560782,0.4851689,0.4689474,0.49038815,0.48725474,0.6251812,0.5525703,0.5501306,0.4727493,0.48856246,0.6307165,0.4907875,0.4914892,0.4831867,0.48298228,0.5747339,0.45244807,0.582229
18,0.47435465,0.47363198,0.51223814,0.446135,0.3173533,0.4633176,0.47097832,0.454567,0.5018374,0.47723663,0.45979196,0.49828452,0.48087078,0.4641956,0.70722586,0.479234,0.44896454,0.49568066,0.48538277,0.6843392,0.56834304,0.59069455,0.45769572,0.48740995,0.6353417,0.5001058,0.49739462,0.47452778,0.47717854,0.57002175,0.42908666,0.5611592
19,0.49971828,0.50115246,0.5005878,0.50160366,0.4817232,0.49547523,0.49888396,0.49840733,0.50210536,0.49966037,0.49711955,0.49781182,0.49646634,0.49932596,0.5401562,0.50121117,0.49923953,0.49918,0.4971239,0.5297238,0.5083301,0.5115538,0.49665746,0.4984931,0.5285773,0.4986084,0.49914008,0.49881488,0.49806738,0.50560814,0.49248886,0.50611097
20,0.4984302,0.49968043,0.4997342,0.49921304,0.4813215,0.4956377,0.4980624,0.49728665,0.5001277,0.49881506,0.49657637,0.49771735,0.4967058,0.4978939,0.5359946,0.49983674,0.4976954,0.4987805,0.4970492,0.52366674,0.50755745,0.5107046,0.49643677,0.49838305,0.5313824,0.4986413,0.49937767,0.49825588,0.49784893,0.50604963,0.492574,0.5088377
21,0.47881812,0.48005843,0.49851966,0.46753478,0.42816287,0.47916207,0.48104697,0.47433776,0.49228072,0.48639232,0.47691345,0.49375796,0.4866439,0.47804824,0.60325813,0.48404744,0.46973023,0.49124178,0.4891109,0.585812,0.53410053,0.55452377,0.47517735,0.48919412,0.5933966,0.4938132,0.49315354,0.48420134,0.48605368,0.5402364,0.45321846,0.55533296
22,0.45713294,0.4596003,0.49498916,0.43826306,0.3570541,0.46112546,0.46177468,0.45107138,0.4813225,0.47201207,0.45616707,0.48672184,0.47469744,0.45640683,0.70519996,0.46970984,0.4425198,0.48247337,0.47892308,0.6710005,0.5756823,0.596849,0.45233446,0.4785406,0.68711853,0.4850583,0.48420447,0.46958247,0.47128695,0.6029535,0.41198334,0.6238879
23,0.468619,0.47033188,0.49724567,0.45495516,0.3811402,0.46933487,0.47115523,0.4626467,0.48778397,0.47889322,0.4661447,0.48950619,0.47993833,0.4673498,0.67600536,0.47821513,0.45693195,0.48691258,0.48339975,0.65004766,0.5630968,0.5750786,0.46304518,0.48351216,0.6508116,0.48833522,0.48769265,0.47678626,0.477482,0.5842297,0.4315762,0.5973074
24,0.44533622,0.4483537,0.49509907,0.4184019,0.3448963,0.45011196,0.45221013,0.43745065,0.47877645,0.46545583,0.4440752,0.48485285,0.46789768,0.44599587,0.7197272,0.45921886,0.42494324,0.47755173,0.47423857,0.68690926,0.5815372,0.6310319,0.43932828,0.47237727,0.7016096,0.4831381,0.4805627,0.46107224,0.4646901,0.60165286,0.3860543,0.63375115
25,0.5013835,0.5012671,0.49990317,0.50562483,0.47705883,0.49712443,0.4995583,0.49971324,0.50129145,0.50004107,0.4985394,0.4972788,0.49717507,0.5001453,0.5536025,0.50297725,0.50199723,0.49974668,0.49717033,0.54316586,0.516122,0.5016608,0.4979218,0.4988078,0.5364798,0.49725163,0.49789318,0.49977794,0.49772954,0.52076465,0.49651012,0.5154337
