t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.41444778,0.0027020676,0.14703356,0.09577217,0.34631112,0.26115245,0.25313035,0.2520666,0.2564332,0.26228735,0.2427285,0.25842354,0.087519646
1,0.5169957,0.26273814,0.2217934,0.23298512,0.47653785,0.41436294,0.44800204,0.47421637,0.4827371,0.49308607,0.48398012,0.4944385,0.44539297
2,0.6882717,0.030656422,0.5260104,0.44473615,0.63928133,0.5645352,0.63375014,0.66694933,0.6797149,0.6904215,0.6563725,0.70440847,0.45892355
3,0.65266037,0.009811093,0.40776843,0.24233626,0.62434304,0.552986,0.59897393,0.59339666,0.60694844,0.6442832,0.5962412,0.6585613,0.1427946
4,0.3767981,0.0025839363,0.30142474,0.25080374,0.34163317,0.2891296,0.29854167,0.30714187,0.33254218,0.34746993,0.33548898,0.35699853,0.13285822
5,0.18986589,0.017912166,0.13606665,0.115894474,0.15344974,0.1279318,0.119310535,0.14609173,0.21080954,0.23246501,0.22780712,0.25066835,0.12035157
6,0.2560839,0.003068827,0.21381499,0.17780557,0.21785113,0.17984755,0.17395921,0.19468902,0.230766,0.24571726,0.24524596,0.25558123,0.12777777
7,0.4666441,0.11660139,0.55597115,0.4897058,0.43254912,0.39703947,0.45148414,0.4864619,0.52109355,0.53975886,0.5328141,0.5657643,0.44912055
8,0.23839714,0.0068252087,0.2941968,0.22149196,0.20622195,0.17817868,0.1931819,0.22925408,0.2885429,0.31537682,0.31929597,0.3428936,0.21344775
9,0.52658075,0.04049646,0.27102196,0.21152942,0.53850204,0.47932425,0.506823,0.5142844,0.52323455,0.5303569,0.5475264,0.5328931,0.29923296
10,0.18949427,0.039438967,0.15842572,0.09909372,0.15742478,0.13296942,0.12482028,0.15277547,0.204493,0.22645408,0.22509106,0.24751888,0.0959802
11,0.15562004,0.00661169,0.17325102,0.10146942,0.12511766,0.11056704,0.10503261,0.15033662,0.21944822,0.24532111,0.25042287,0.2734933,0.13739452
12,0.90246344,0.03726831,0.47279206,0.32353956,0.88986915,0.82643133,0.895308,0.8928169,0.90994316,0.93803537,0.90003556,0.9497048,0.37573555
13,0.4343653,0.0163732,0.51166016,0.4214768,0.48839244,0.47036052,0.504025,0.5179673,0.55861324,0.57592314,0.59506184,0.5868405,0.2754713
14,0.13005292,0.0017462823,0.18785666,0.09944104,0.099661276,0.09365026,0.06472648,0.113366485,0.27633503,0.33790696,0.338922,0.35975528,0.15934815
15,0.14265081,0.0025585685,0.17922986,0.09204493,0.11199952,0.09993543,0.073993914,0.11027479,0.26885557,0.3414081,0.33420607,0.37375945,0.09297598
16,0.14089137,0.0053907754,0.18570822,0.0966969,0.11047284,0.10648684,0.07676278,0.12218609,0.31464246,0.39970908,0.3844175,0.42387134,0.10191372
17,0.14240319,0.0065877535,0.15459813,0.08513328,0.11650445,0.109110415,0.083275944,0.12134064,0.2926708,0.3711995,0.36214143,0.40059474,0.10947296
18,0.12431817,0.00079292245,0.05845821,0.034054633,0.095922306,0.073662266,0.05689674,0.062067553,0.106863104,0.12941504,0.11714974,0.13299006,0.02866521
19,0.18925968,0.021621153,0.20488529,0.14195177,0.16488728,0.14961277,0.14311591,0.16961627,0.27841243,0.33397126,0.32503164,0.35977185,0.1351728
20,0.1327091,0.0019705766,0.26621255,0.1812245,0.11864095,0.1160695,0.12209861,0.1482604,0.23287868,0.28085205,0.27165332,0.31205976,0.09590585
