t,0,1,2,3,4,5,6,7,8,9,10,11,12
37,0.06722093,-0.030488705,0.06928722,0.018976664,0.0035393843,0.004440328,0.01617598,0.049060818,-0.07566418,-0.023935422,-0.023277571,-0.024182528,-0.051152915
38,1.8155489,0.021774843,2.201901,0.08423313,0.68380475,-1.1045464,-1.068898,-1.9399515,-2.416448,0.104024805,0.10635959,0.11446789,1.397729
39,0.40265447,-0.119436994,0.27218363,-0.050282992,0.3075844,-0.3025115,0.581337,-0.47548798,-0.3828653,-0.04571831,-0.039581366,-0.052996095,-0.09487882
40,0.031403963,-0.019805094,0.037810586,0.0038126006,0.0024436119,0.009689435,0.029785976,0.041424144,-0.054642834,-0.020482857,-0.019519774,-0.021358222,-0.020561535
41,0.027241899,-0.018769605,0.031178925,0.006407344,0.00055890833,0.0043666274,0.011482236,0.03378921,-0.033438083,-0.0119559765,-0.011954241,-0.011976434,-0.02693081
42,0.024841772,-0.017929874,-0.026494758,-0.017191218,0.024807978,0.03139239,0.009336711,-0.01449378,0.0078043123,-0.014960716,-0.011319034,-0.01679291,0.020999111
43,0.38439697,0.71276444,0.36734384,0.30415794,-0.11604523,0.30182573,-1.117326,-1.8866472,0.15301883,0.2775348,0.27926087,0.27712703,0.06258795
44,2.7245166,2.072231,3.41855,0.996667,-0.006947687,0.839238,-4.690435,-5.415689,-3.1425054,0.31508267,0.30969605,0.22044101,2.3591542
45,0.24592796,0.36633,0.20360954,0.16916275,-0.047179595,0.16543685,-0.6078501,-0.9266144,-0.067260936,0.14178976,0.14254197,0.14259924,0.071506925
46,0.0058903694,-0.0034653111,0.0044281636,0.0022644391,0.00040047197,0.00055800105,0.017993696,0.0024780286,-0.01302423,-0.006192721,-0.0054561603,-0.0065049795,0.0006302377
47,0.008296908,-0.011308656,0.01763005,0.010093706,8.1113874e-05,-0.0008575167,0.017418932,0.014209834,-0.020664454,-0.009888747,-0.0084347,-0.010563864,-0.0060126036
48,0.050040934,-0.070489846,0.093220174,0.034638967,-0.005389789,-0.012911114,0.039294936,0.09406462,-0.07465275,-0.027312243,-0.026728326,-0.027494447,-0.06628112
49,-0.068079524,-0.06987946,0.09220751,0.057779588,-0.039593596,-0.038333625,0.05456653,0.09887398,-0.021388477,-0.012847409,-0.010001635,-0.012646626,-0.030657252
