t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.025299093,0.03893082,0.022254333,0.044016507,0.12774667,0.012129674,0.028752157,0.015503696,0.027861021,0.0086257905,0.0011009088,0.01728115,0.0040721004,-0.0049572336,0.036371134,0.030662896,0.030986968,0.005019556,-0.0016580736,-0.16704203,0.07602792,-0.15355071,0.0007623002,0.023718439,-0.00030044935,0.031468134,0.04641188,-0.0009364287,0.022015639,-0.06720108,0.24152303,0.00864244
1,-0.029324794,0.0408975,0.019801702,0.052136995,0.13298383,0.012138541,0.033637702,0.012568606,0.025396196,0.010919662,-0.003089164,0.021512602,-0.0033150075,-0.015426213,0.031878963,0.028944856,0.03179388,0.009524625,-0.011460265,-0.21707007,0.07802195,-0.17463219,-0.0071127173,0.024004033,0.00025637512,0.03868223,0.054871798,-0.004452791,0.023513615,-0.07393628,0.32079184,0.0787115
2,-0.044070322,0.054892726,0.027819978,0.07109247,0.1497397,0.016369171,0.04573836,0.013646258,0.035601974,0.016125148,-0.007230121,0.027351817,-0.0039908476,-0.022758437,0.06677945,0.035731867,0.04411854,0.01433444,-0.017022721,-0.2832166,0.10838507,-0.24737974,-0.010460408,0.033144567,0.0016653431,0.05225268,0.07436538,-0.0068354895,0.030152483,-0.09874657,0.44215053,0.08426702
3,-0.056666102,0.06664732,0.03376954,0.08681528,0.14436974,0.021170337,0.05522331,0.014989538,0.042918064,0.019446746,-0.009762486,0.03185746,-0.0021174203,-0.028298464,0.08970872,0.040758174,0.05377485,0.017140647,-0.019609332,-0.3337037,0.12092996,-0.29004642,-0.0119816195,0.041579925,-0.0049987924,0.06316735,0.08995576,-0.008567002,0.0344506,-0.13905643,0.5321027,0.08962263
4,-0.05671514,0.06430624,0.030356357,0.088506795,0.12295693,0.02092681,0.054958187,0.012494843,0.037934564,0.017913941,-0.011136152,0.033418767,-0.0048703933,-0.0334086,0.089156166,0.037375953,0.051425114,0.01826656,-0.023601629,-0.36200777,0.115076385,-0.27924335,-0.01650664,0.04034965,-0.021639332,0.06440238,0.09136963,-0.010136887,0.033347555,-0.15048143,0.5483949,0.10163908
5,-0.063892245,0.07147687,0.03532489,0.097682,0.12153882,0.023301436,0.059565634,0.013680652,0.043749332,0.018041993,-0.012128357,0.03626074,-0.0024077191,-0.03552154,0.102132544,0.041940667,0.057529986,0.019152243,-0.023204435,-0.39964586,0.1319766,-0.2960505,-0.01748183,0.04578562,-0.031109974,0.07055282,0.101221696,-0.01006989,0.036341432,-0.17970914,0.59499234,0.089717105
6,-0.043299418,0.039578475,0.012281376,0.06446169,0.03602153,0.014893398,0.03499643,0.0010425425,0.011747565,0.0048097055,-0.011526445,0.018543284,-0.00031112245,-0.031737868,0.07916679,0.013665239,0.030529423,0.012383969,-0.020133507,-0.33795902,0.0011466444,-0.12268554,-0.01761949,0.026464956,-0.04028922,0.041976206,0.059547685,-0.010869296,0.013422291,-0.096428216,0.35667557,0.13518326
7,-0.026702564,0.02418953,0.004995173,0.040233135,0.017286148,0.009278681,0.022906357,-0.0024802154,0.0028309692,0.0033425665,-0.009848842,0.007893539,-0.00039233788,-0.023139179,0.09285639,0.00079357065,0.017880829,0.010229306,-0.016359594,-0.24924603,-0.045732893,-0.08275502,-0.01173692,0.016141305,0.018660473,0.025508694,0.034376293,-0.009755719,0.0039728167,-0.041424263,0.21012817,0.1574584
8,-0.043992076,0.051752638,0.024965148,0.055153146,0.12252226,0.019881424,0.042385876,0.009507615,0.03599284,0.024059309,-0.0078091426,0.0119326385,0.007973656,-0.014558818,0.18898678,0.017980848,0.042999566,0.013498579,-0.007383912,-0.2720309,0.02104213,-0.2707043,0.0057654744,0.03345522,0.060902927,0.038253974,0.050148554,-0.007740777,0.014943609,-0.07080898,0.24899462,0.17037262
9,-0.06274835,0.073294796,0.03800265,0.08172919,0.13817322,0.029437713,0.059378214,0.017405154,0.051796522,0.030705972,-0.00837671,0.022934377,0.01220646,-0.019517643,0.18891177,0.03478823,0.06038467,0.016527034,-0.007874079,-0.31870943,0.06393776,-0.3193706,0.0059202304,0.04921657,0.04142817,0.05757616,0.07881034,-0.010539683,0.02810736,-0.13598594,0.4094788,0.16153234
10,-0.069015086,0.08157742,0.041276745,0.09935276,0.13474034,0.034061562,0.06628856,0.020830609,0.0501881,0.024726864,-0.007873476,0.029472683,0.014159594,-0.024577487,0.16132635,0.042541828,0.065364115,0.017533287,-0.010553228,-0.38159567,0.08360359,-0.32127276,0.0009215508,0.05518859,0.011021505,0.068055004,0.09683545,-0.0129074855,0.034135193,-0.19368792,0.5245755,0.14122419
11,-0.07206674,0.08352624,0.04274232,0.10567419,0.11970045,0.033526875,0.069917545,0.018731399,0.053239577,0.026880791,-0.010793751,0.035442673,0.0077848537,-0.032462943,0.15737969,0.04381534,0.06718761,0.020037148,-0.016934805,-0.39072877,0.107058086,-0.3333429,-0.0059568477,0.05622933,0.0015341104,0.07470468,0.10606018,-0.014024834,0.037166737,-0.21746516,0.5901357,0.13864383
12,-0.048204757,0.044130392,0.0154850315,0.06360121,0.018702827,0.022161413,0.039922945,0.0021828962,0.017958276,0.013876696,-0.011332443,0.015008448,0.007671847,-0.028997779,0.1619289,0.008423231,0.0348563,0.013230981,-0.013862835,-0.3117057,-0.015570946,-0.14225516,-0.007591035,0.032186516,0.0026906356,0.04049152,0.056014832,-0.013656627,0.010572044,-0.11816067,0.30815753,0.1838384
13,-0.03292804,0.028477276,0.009311663,0.039797686,0.0061839567,0.015638413,0.026651625,-0.0015599319,0.010670025,0.011223279,-0.009876708,0.0056854463,0.007697902,-0.02099288,0.17689562,-0.0024739937,0.022571146,0.010774212,-0.009078757,-0.23887408,-0.04498018,-0.11791921,-0.003870207,0.022467699,0.04470595,0.024675826,0.03293802,-0.011659177,0.002376322,-0.0784697,0.17085359,0.17596701
14,-0.03150508,0.02895756,0.013076557,0.03779374,0.04639325,0.0155046545,0.025748689,0.0033375577,0.016184047,0.011285547,-0.006842088,0.008154504,0.011064598,-0.01643461,0.15611933,0.0046454975,0.022890655,0.010164329,-0.00352767,-0.21941566,-0.032445095,-0.12856027,-0.0038394816,0.026159588,0.03928577,0.025809966,0.03568121,-0.00922791,0.006757358,-0.09693438,0.1614819,0.18269809
15,-0.028177585,0.021356016,0.011517618,0.028853238,0.053371713,0.013146771,0.019883443,0.0024460694,0.015605233,0.010104668,-0.0064541968,0.0061472626,0.01309113,-0.013562906,0.16055816,0.0024723392,0.017345604,0.009667619,0.00037193776,-0.17769851,-0.027325358,-0.11487338,-0.0057815555,0.024751045,0.031663995,0.020931624,0.029640395,-0.006862703,0.0051533263,-0.10274198,0.11712951,0.20196064
