t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.00033896585,-0.0030616485,0.009860566,-0.010475814,0.002664497,-0.019234154,0.03395609,-0.024394495,-0.00051264296,-0.00060677045,-0.0004668679,-0.00073613937,0.012668411
1,2.7681494e-05,-0.006359179,0.004543034,-0.0049154097,0.00015866477,-0.0054930537,0.009959941,-0.0039281505,-0.0010422367,-0.0013247096,-0.00092699565,-0.0013612477,0.01066166
2,0.00066704146,-0.0012301602,0.004745746,-0.0062180096,0.0022518425,-0.013995486,0.022301367,-0.018942675,-0.0026659025,0.0012981296,0.0012792547,0.0013045524,0.009204299
3,-0.00044433773,-0.0016018315,0.0031051103,-0.004545429,0.0016760338,-0.011461623,0.021853998,-0.015965847,-0.004544067,0.0012325932,0.0011693256,0.0012402472,0.008285828
4,0.0007251444,-0.002174361,0.001216739,-0.0021576774,0.0016345048,-0.0059878356,0.013211194,-0.009935313,-0.0033264135,0.00027509817,0.0003015232,0.0002662909,0.0059511056
5,-0.0012936686,-0.0024076253,0.0014095056,-0.0034662313,0.0014171908,-0.009470833,0.02194114,-0.01459651,-0.0065531502,0.001199928,0.0011763402,0.0012145184,0.009429396
6,0.037089434,0.0030275616,0.058489088,-0.076565966,0.062359042,-0.20016854,0.28250632,-0.20216951,-0.03062434,0.0038816275,0.0035686311,0.0044681407,0.054138504
7,0.21168566,0.2302085,0.40447995,-0.5661612,0.26762468,-1.2055902,1.0085442,-0.9658541,0.1780738,0.029134369,0.029883677,0.024904272,0.3530665
8,0.06899795,-0.0014718663,0.012495588,-0.02949893,0.06311087,-0.17362781,0.29545945,-0.3562993,0.096697435,0.0019475578,0.0018618243,0.0017795318,0.018547703
9,-0.0031537926,0.0004394271,0.007147416,-0.00953926,-0.0008091279,-0.011044689,0.033289626,-0.01854767,-0.0066215377,0.0008305341,0.0007872372,0.00083446945,0.0063873664
10,-0.005285027,-0.0010459257,4.7854395e-05,-0.0031313682,-0.0012121366,-0.0030705975,0.011374151,-0.0069901217,-0.0032433015,0.0011897325,0.0011822556,0.0011873818,0.008997101
11,-0.0032430245,-0.0022108955,0.0005931467,-0.000806652,-0.0016714453,-0.000428726,0.0061802613,-0.0031015107,-0.002411998,0.0005620258,0.0005465828,0.000562997,0.005429238
12,0.12793593,0.041090623,0.15209515,-0.16740164,0.005212394,-0.22948354,0.43624896,-0.6199141,0.24070339,-0.028419305,-0.02710497,-0.030799115,0.09983626
13,0.50822663,-0.29333156,0.0027524307,-0.11625424,0.16409697,-0.14625697,0.53130853,-0.8781502,0.27653766,-0.1418738,-0.14240551,-0.14957954,0.38492966
14,-0.03872314,-0.0400848,0.066142455,0.009785527,-0.016585818,0.0043648146,0.09086279,-0.33426997,0.36780196,-0.07799031,-0.07334922,-0.08319237,0.12523805
15,0.19125772,-0.77394855,0.0033274125,0.27546364,0.0016109415,0.64252007,0.8578715,-1.3333749,-0.16786866,-0.01848727,-0.019277154,-0.017575067,0.35848027
16,0.8147784,-1.4863331,0.32130903,0.41766775,0.30153444,0.12792976,1.4627907,-1.8349558,-1.087371,0.080231525,0.08004611,0.08088883,0.7214834
17,0.03131652,-0.1089321,-0.10542014,0.124139406,0.090873696,-0.162305,0.30724332,-0.39242938,0.018992145,0.01690154,0.014681454,0.011727142,0.15321143
18,0.031881467,0.02001961,-0.012331412,0.0027679228,0.024390083,-3.0242918e-05,-0.0134219695,-0.026947124,0.033639885,-0.010788152,-0.0099655,-0.011390295,-0.027824273
19,0.659513,-0.3232468,0.49539083,0.6654264,0.3249272,-1.2331767,1.364423,-2.1178792,-1.5024687,0.2564434,0.2558915,0.25663394,0.8981222
20,0.005346442,0.0020600827,-0.0006124754,0.0011131613,0.0036837535,0.00053680514,-0.0023607104,-0.013851571,0.0041671395,0.0012019258,0.0012962711,0.0011970464,-0.0037778714
21,1.719385,-0.8248919,0.9882082,0.25256884,0.405848,-0.9323987,1.8801256,-2.685635,-3.1706874,0.49254712,0.46346343,0.52515894,0.8863081
22,0.03584137,-0.016099859,-0.02634273,-0.027449338,-0.025391717,0.042823773,0.052181892,-0.018012982,-0.059852697,0.0066288235,0.007130498,0.0061596893,0.022383282
23,1.3039544,0.018288225,0.32034665,0.31875092,0.26591676,-0.91995597,0.55486935,-1.7077214,-1.827,0.27973512,0.27054074,0.32107866,0.8011966
24,0.30291522,-0.3311154,-0.05871865,-0.23417133,-0.16628705,-0.67660934,0.5752872,0.8810905,-1.6252009,0.27927113,0.2278549,0.35679737,0.46888617
25,-0.0071835965,-0.0021164096,0.0027835825,0.0028518643,-0.009328154,-0.0038046215,0.006539298,-0.0032205053,-0.0065800208,0.005680696,0.0047041867,0.0061716707,0.0035020092
26,-0.008496421,-0.0019582044,-0.00077523757,0.0003597167,-0.005503818,-0.0045497073,0.0038105496,0.0052398043,-0.0014071806,0.0031730575,0.0026778872,0.0033193997,0.0041101584
27,-0.011241676,-0.0022691071,0.0014894557,-0.0014371085,-0.0066107796,-0.007873216,0.008301352,0.0062929103,-0.0044883555,0.0039576013,0.0033612186,0.0041885055,0.0063291974
