t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.46792334,0.4698812,0.4963233,0.45269927,0.40129355,0.47284132,0.4723553,0.4642642,0.4856159,0.47963637,0.46884173,0.491847,0.482659,0.4677208,0.63472986,0.4766577,0.4572348,0.48772973,0.48577312,0.6078275,0.55025285,0.56960183,0.46576637,0.484779,0.63201016,0.4900672,0.48926648,0.47789112,0.4802959,0.5691772,0.43584806,0.58992493
1,0.4701306,0.47241548,0.49716303,0.45635808,0.4076362,0.47320858,0.47430342,0.4660428,0.4882997,0.48083842,0.47014895,0.49188203,0.48265868,0.47026682,0.6306911,0.4781301,0.45982644,0.48790345,0.48616198,0.61111605,0.5492624,0.5709247,0.46719033,0.4848935,0.6236406,0.49022222,0.48927763,0.47873306,0.48092753,0.56441885,0.4360309,0.58551586
2,0.47193474,0.4734936,0.50862104,0.44712877,0.3335351,0.46452537,0.47051454,0.4566058,0.4983712,0.47644702,0.46142903,0.4960617,0.48072016,0.46478277,0.6931437,0.47869095,0.45044217,0.4932599,0.48547882,0.67121214,0.5649037,0.5921185,0.4594841,0.48600063,0.63663715,0.49722457,0.49513575,0.47445047,0.4769667,0.5737868,0.42748857,0.5719593
3,0.46824938,0.46999058,0.49598265,0.45506647,0.3995922,0.47065657,0.47158682,0.46397054,0.48613632,0.47916546,0.46747494,0.49000493,0.4808017,0.46826193,0.64999825,0.4776102,0.4578923,0.4868985,0.4840204,0.6254111,0.5571369,0.57664293,0.46436834,0.4832457,0.63993126,0.48810712,0.48694265,0.47760037,0.47835514,0.5762729,0.43134218,0.59125835
4,0.47200707,0.4732999,0.50631106,0.4490272,0.3536354,0.46544638,0.47124153,0.4584504,0.49699032,0.47750837,0.46268997,0.49459955,0.48040384,0.46640742,0.6761491,0.4781405,0.45196968,0.4915294,0.4852134,0.66026384,0.5602672,0.5926964,0.46074697,0.4851046,0.62794906,0.4957028,0.49336696,0.4749655,0.4776586,0.5681586,0.42746615,0.5701342
5,0.47451746,0.47604534,0.49744216,0.46270785,0.42551836,0.47492006,0.4771488,0.47032946,0.49035725,0.48338583,0.47285733,0.49176252,0.48359543,0.47476476,0.61347413,0.48105952,0.46478105,0.48891124,0.4868084,0.5986076,0.5421194,0.5704578,0.4706329,0.48579416,0.6054029,0.49104613,0.48953918,0.48122066,0.48269624,0.5520918,0.44158378,0.56600994
6,0.4719936,0.4732673,0.49642357,0.46018538,0.40038,0.47301084,0.47421637,0.46712992,0.4876301,0.48072562,0.47030297,0.49025097,0.4822456,0.47090387,0.64648265,0.48003384,0.4620543,0.48798305,0.48518938,0.6264769,0.55632406,0.57015175,0.46771005,0.48460123,0.6353317,0.48894435,0.4881107,0.47924584,0.48019367,0.5777051,0.4374481,0.5894305
7,0.4981703,0.49844635,0.49997407,0.49860427,0.48219147,0.49474555,0.49738222,0.4962038,0.50048876,0.49803284,0.49568722,0.4974303,0.49615502,0.49750635,0.53692716,0.4990396,0.49663398,0.498253,0.49678192,0.5328611,0.5115074,0.51553947,0.49545312,0.49732998,0.52753997,0.49792445,0.49792746,0.49737445,0.4969388,0.5119651,0.48937902,0.5119505
8,0.49381027,0.49397194,0.49936447,0.49116373,0.47397003,0.49228245,0.49405608,0.49158126,0.4979757,0.49539664,0.49207988,0.4970604,0.49483973,0.49309146,0.5427277,0.49509275,0.49060825,0.4967351,0.49561775,0.53778917,0.515782,0.5221411,0.49169606,0.49576145,0.538589,0.49722084,0.4970386,0.49463156,0.49501503,0.5189368,0.48262802,0.52282655
9,0.47331676,0.47492427,0.49709257,0.4613738,0.40492675,0.4753263,0.47612947,0.46905765,0.48872656,0.48204118,0.47230157,0.49158955,0.48411125,0.47238153,0.6374207,0.48087496,0.463707,0.48888114,0.48675436,0.6151752,0.550299,0.5635156,0.47009856,0.4864124,0.6245322,0.49062866,0.49024674,0.48059243,0.48200756,0.5699908,0.44351372,0.583626
10,0.47328758,0.4749817,0.4977655,0.46039304,0.41844514,0.47475934,0.47655132,0.46895066,0.49020806,0.48277524,0.47201464,0.49214548,0.48378727,0.4733815,0.6215118,0.48015845,0.462992,0.48870718,0.48693103,0.60346156,0.5431884,0.56859004,0.46983907,0.48615846,0.607968,0.49145263,0.49034807,0.48059648,0.4823647,0.5539422,0.44173333,0.57029516
11,0.45436153,0.4579075,0.49615648,0.43278626,0.35604474,0.45795414,0.45974696,0.44789645,0.48251864,0.4700344,0.45314312,0.4866446,0.47306862,0.45431855,0.7036196,0.4669254,0.43764547,0.4812202,0.4783936,0.67373586,0.5751814,0.6113852,0.44950378,0.47692809,0.6818139,0.48538482,0.48392296,0.46711552,0.4698428,0.60016143,0.4042552,0.6231392
12,0.44376427,0.44709417,0.49525878,0.4151435,0.34260342,0.4486027,0.45055643,0.43570584,0.478104,0.4640334,0.44240597,0.48484322,0.46730375,0.44435728,0.7180824,0.45785877,0.42240655,0.47723225,0.47386932,0.6857939,0.5815657,0.6377666,0.4378386,0.47162345,0.7021192,0.4832893,0.48043254,0.45984265,0.46388942,0.60221666,0.38227,0.6337316
13,0.4974923,0.497602,0.5000876,0.49774477,0.47475246,0.49355122,0.49617907,0.49502823,0.5000872,0.49735668,0.49452105,0.49710834,0.49533346,0.49640387,0.5482118,0.49896288,0.4956243,0.49836054,0.4960305,0.5419876,0.5162849,0.5164471,0.49392274,0.49671823,0.53752625,0.4972001,0.49707937,0.49673426,0.49585688,0.5186382,0.48660123,0.516716
