t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
33,-0.0012708866,0.00027661986,-0.00095532514,-0.0005634275,-0.0002418432,0.00025443052,-0.00019973826,-0.0008441686,0.0008526917,0.00053944835,0.0005142486,0.0005584019,0.0010795484
34,-0.0010705377,-0.0013636263,-0.00075880456,-0.0013328396,-0.00070490816,0.00040698575,0.0016066089,0.0023898291,0.00027942666,-0.00019831883,-0.00018476485,-0.00021827765,0.0011492273
35,-0.010983293,0.031663734,0.064886875,-0.12126209,-0.07376274,0.1695552,-0.18169166,0.18977137,-0.06475324,-0.00051127834,-0.00041675576,0.001234898,-0.0037310284
36,-0.01667331,0.03232054,0.08275739,-0.09628966,-0.06565839,0.113683976,-0.16142276,0.21342592,-0.08796189,-0.0011961587,-0.0015193259,0.0014265279,-0.01289286
37,-0.0031659084,-0.00080343214,-0.0006621183,-0.0009341408,-0.002090612,-0.00034081753,0.0025769537,0.0027472903,0.0018357434,0.00022200032,0.00013213858,0.00034100062,0.00014190305
38,0.018539792,0.051235817,0.085166216,-0.079169735,-0.059870828,0.20633276,-0.12659216,-0.040582336,-0.029591369,-0.0026317479,-0.0026499971,-0.0026313097,-0.017555093
39,-0.016938912,0.041006453,0.06542854,-0.043085545,-0.042505197,0.027390314,-0.041387003,0.042308915,-0.059283707,0.009079219,0.008323765,0.012236358,-0.0025732124
40,-0.0047875084,0.04850593,0.08261062,-0.05778969,-0.04019509,0.03301767,-0.04295654,0.03284327,-0.07848337,0.010041205,0.009214489,0.013496565,-0.0055175507
41,-0.047588926,0.0010587813,-0.06325493,-0.014162091,-0.039609548,0.009715072,0.08164043,0.04192351,0.01555951,-0.0008421808,-0.0019346098,0.0025160417,0.01497893
42,0.027169233,0.12278331,0.23912965,-0.246088,-0.08042965,0.13638467,-0.15120602,0.11596307,-0.24528262,0.018203642,0.019206436,0.021651577,0.0225147
43,-0.00077599037,-7.7198514e-05,-0.0010819185,-0.0003007018,-9.9940844e-05,0.00059204287,0.00017515976,-0.0005354157,0.00090502074,0.0002620131,0.00026434797,0.00027544043,0.000397141
44,-0.0008603032,-2.8128281e-05,-0.0009539138,-0.00024640647,-0.00013602008,0.0004092596,0.00037332787,-0.0003990181,0.0008005774,0.00026188785,0.00022046363,0.0002817749,0.0002764984
45,0.0015373047,0.000566005,-0.00084694487,-0.0037835317,-0.000760792,0.0054205786,0.0036134222,0.0008652226,-0.0014454037,-0.00070447323,-0.00073070993,-0.00061375165,-0.003116926
46,0.030824764,0.07241869,0.31719124,-0.24324909,0.014701484,0.027393421,-0.07411336,0.079099014,-0.32757467,0.0077009266,0.009495425,0.013220619,0.07289156
47,-0.009289926,0.004806157,-0.0064413194,-0.0012758862,-0.0007253969,-5.209356e-05,-0.0005313847,-0.0076333154,0.006750572,0.0024514978,0.002421505,0.0024527246,0.007066865
48,0.006539636,-0.016139608,0.020818772,0.005853944,-0.0015033801,-0.003138044,0.023429874,0.02227315,-0.022674408,-0.0054946444,-0.0055147815,-0.0052920445,-0.019158464
49,-0.03009976,-0.019797781,0.0027966322,0.012484661,-0.0118136285,-0.004961077,0.023386722,0.01990575,0.00554096,0.00025895744,1.1849804e-05,-0.0002942244,0.0025809428
