t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.514898,0.023964228,0.41607067,0.35723326,0.47856367,0.4166141,0.45980766,0.4579286,0.47850615,0.5003262,0.4656683,0.51741505,0.15512331
1,0.72128314,0.3170226,0.30408293,0.31641132,0.68262184,0.6022079,0.67979854,0.7143886,0.73653835,0.7482526,0.72609323,0.7563104,0.60262084
2,0.5889298,0.050875124,0.21135946,0.14909191,0.5502825,0.47912344,0.516533,0.52567637,0.5402782,0.55594295,0.5188926,0.560073,0.2398224
3,0.17367975,0.0020864157,0.18276855,0.09348347,0.13205385,0.11282088,0.08632988,0.14120457,0.27283165,0.31738606,0.32812482,0.35804993,0.14828223
4,0.5543208,0.005644564,0.4696119,0.4017138,0.5342379,0.47699335,0.5190594,0.5366224,0.5589454,0.5752224,0.5596735,0.58610964,0.2775203
5,0.1669342,0.0018642272,0.17091896,0.08829357,0.12572029,0.107168786,0.084618285,0.13864167,0.257295,0.2994992,0.30233076,0.33263296,0.13295548
6,0.1468961,0.00207704,0.17816827,0.09916486,0.115412556,0.10062273,0.083925836,0.13585009,0.24846904,0.28359625,0.29237098,0.31582522,0.14924
7,0.1623017,0.003590858,0.23323525,0.14534393,0.12539904,0.10922509,0.096210875,0.14700238,0.26001555,0.29489622,0.3105504,0.33625448,0.16578913
8,0.66315323,0.006106196,0.5559891,0.4754631,0.6316548,0.5684747,0.6306154,0.6572776,0.68159026,0.70514125,0.6737455,0.72118956,0.35014185
9,0.88544077,0.005027309,0.5929614,0.41205615,0.8829428,0.82473373,0.90979284,0.93088716,0.9506343,0.97686565,0.9429163,0.98983413,0.4432915
10,0.7340115,0.057295956,0.5972219,0.4666759,0.7156255,0.66451395,0.7392357,0.7745559,0.7979087,0.81882715,0.8048318,0.83462816,0.5371878
11,0.70310754,0.016146902,0.49312314,0.35848758,0.6761388,0.6228697,0.67241997,0.689386,0.70468456,0.7234625,0.69705504,0.7341699,0.39514858
12,0.12243376,0.0048836567,0.22933532,0.14006063,0.09745985,0.09739392,0.08699011,0.13498448,0.25737688,0.29897994,0.3120996,0.33251104,0.17219046
13,0.15121917,0.021909282,0.18148679,0.115936756,0.120558195,0.11292509,0.09949598,0.13762553,0.24539809,0.28486878,0.27877662,0.30769768,0.110220134
14,0.14599654,0.0018188683,0.10231204,0.056305002,0.12790626,0.102729276,0.08183568,0.09173465,0.13332579,0.14376362,0.1643372,0.14553477,0.046849545
15,0.13020518,0.011587982,0.18020585,0.09965207,0.10085869,0.09983444,0.07532083,0.11711683,0.30520913,0.38479263,0.38488206,0.41527298,0.14142859
16,0.14122361,0.0010676876,0.18878123,0.10505394,0.10991246,0.108522214,0.08093767,0.12299469,0.31942895,0.40183443,0.38727605,0.43517128,0.09003893
17,0.14673175,0.001176058,0.2083411,0.115505844,0.10928922,0.10812425,0.07726042,0.12849598,0.34592518,0.43962786,0.43206197,0.4816039,0.118961774
18,0.21749112,0.0024261398,0.27934948,0.17365634,0.21298328,0.1995612,0.18718274,0.21064793,0.32333216,0.3791671,0.3855509,0.4083827,0.124427706
