t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
35,-0.02843589,0.007139674,-0.016400214,-0.008168452,-0.003445398,0.0019746178,0.002736876,-0.012429181,0.015805585,0.009269047,0.008825304,0.009669488,0.0134585425
36,-0.13208604,-0.030445699,-0.12039204,-0.025937924,-0.058906917,0.041373916,0.18906131,0.09820683,0.00955103,-0.0029479843,-0.004533109,0.0003916503,0.036664963
37,1.8924507,0.67535263,1.1636441,-2.0792227,-0.77923685,2.2869363,-2.9726827,0.86380494,-0.9118806,0.13805747,0.13845785,0.13129003,-0.5469711
38,-0.00021726116,-0.0012218475,0.0037803384,0.003504162,-0.001981968,0.00058874703,-0.0025071723,-0.00075586594,-0.008451242,0.0021185556,0.0017940524,0.0026631006,0.0006863961
39,1.0588027,1.394943,0.9650966,-0.9165347,-0.1725789,-0.46115008,-1.4310398,0.14718446,-0.6129298,0.16051815,0.16099024,0.113458104,-0.40676
40,-0.017478121,0.051041707,0.11750127,-0.0008205661,0.011108314,-0.032815166,0.053571545,-0.19511224,-0.026382487,0.01204603,0.012110792,0.011111841,0.0041170837
41,0.16152537,0.37781033,0.33499563,0.10703683,0.043027807,-0.025714707,-0.3078801,-0.9332285,0.043020204,0.032374952,0.021983964,0.01630059,0.12874758
42,0.0005492409,-0.0007387318,0.010738341,-0.054424003,0.10190532,-0.110755876,0.119403936,-0.14807682,-0.014036079,0.0072510364,0.00613597,0.0029618556,0.07908581
43,0.022415606,-0.014694665,0.019424085,0.0054024686,0.0026042564,9.637039e-05,0.008443819,0.022431305,-0.02174575,-0.0066960435,-0.006775239,-0.0066886186,-0.024217594
44,0.013271381,0.0015574248,-0.001881451,0.00011619713,0.005952858,0.0058938386,-0.009624293,-0.014512285,-0.002892342,9.155161e-05,0.0002995932,-7.371871e-05,0.0018012472
45,0.3800686,1.0045525,0.45082262,0.0026553625,-0.12818395,-0.13306688,-1.0965531,-0.77582234,0.33674836,0.051408317,0.03294602,-0.03754962,-0.08802612
46,0.2906782,0.022823647,0.20602874,-0.0004208908,0.2586119,-0.26470563,-0.025937429,-0.32895666,-0.045604534,-0.01442799,-0.016826248,-0.04363409,-0.037628997
47,0.048868533,-0.040812172,-0.071123235,-0.010370234,0.055618417,0.06770862,0.08242395,-0.04635192,0.0141717335,-0.01988718,-0.015543359,-0.024365569,-0.040337596
48,-0.0075723478,-0.0121725965,0.022974242,0.011837773,-0.006134607,-0.008857103,0.0038226917,0.00055596005,-0.008036777,9.845585e-05,0.0017280316,-0.00058220385,0.0023384902
49,0.037416715,-0.096246466,0.108331226,0.047085613,-0.008690572,-0.02364073,0.02731931,0.09157426,-0.05665095,-0.017858531,-0.017436692,-0.01791412,-0.07328907
