t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.68382627,0.3468574,0.28719825,0.2950128,0.6596355,0.5802409,0.6376766,0.6711535,0.67784935,0.6857688,0.682834,0.6852983,0.609356
1,0.44355056,0.015464183,0.47166732,0.43683925,0.42632812,0.36977828,0.41152236,0.4395338,0.4561929,0.4677521,0.46942195,0.48456377,0.28245205
2,0.76877064,0.004889517,0.48266813,0.32277173,0.7474327,0.6859499,0.7497995,0.7616452,0.7754156,0.7946028,0.75687325,0.80106217,0.325226
3,0.33018047,0.0598518,0.27434158,0.2615555,0.31513056,0.28094292,0.29927498,0.32165796,0.35729307,0.37315303,0.37486398,0.38791814,0.22886428
4,0.59061146,0.003056115,0.5355276,0.45064613,0.55505276,0.49350888,0.5468258,0.5625445,0.5815715,0.6009094,0.5692557,0.61680084,0.22923952
5,0.47609347,0.003641521,0.31813145,0.29605874,0.45280322,0.39888576,0.4289334,0.44220698,0.45935652,0.46849665,0.4501518,0.47064197,0.20533751
6,0.2404458,0.005065262,0.18392539,0.1405831,0.21351598,0.18450612,0.1994202,0.22124784,0.24343592,0.256301,0.24296048,0.2678811,0.16210093
7,0.5729438,0.003749743,0.4748873,0.3847789,0.55389047,0.49537095,0.54626596,0.5679399,0.5867837,0.6045885,0.587053,0.61636454,0.29397178
8,0.33906466,0.014814851,0.2708075,0.22751506,0.28554526,0.25029522,0.2659233,0.27872857,0.29826748,0.3151192,0.29026818,0.33173972,0.18044671
9,0.6488918,0.0067528775,0.45964065,0.32475668,0.64164644,0.58328855,0.62775755,0.6388707,0.6513791,0.66935635,0.6553319,0.6778893,0.3071871
10,0.15215515,0.01347333,0.22238874,0.15456675,0.13222179,0.12419353,0.1387776,0.16466871,0.19235581,0.2075372,0.21518962,0.22835699,0.13161126
11,0.7105166,0.01192148,0.5259928,0.41642246,0.69101727,0.6380614,0.6908352,0.70225126,0.71785176,0.73828197,0.7088059,0.7487598,0.3471173
12,0.6288657,0.020528726,0.5133941,0.43890256,0.56647444,0.564613,0.62122464,0.6481904,0.6724528,0.69244653,0.6207155,0.71371585,0.39043498
13,0.8091007,0.07438551,0.6805075,0.5171541,0.85842925,0.84017473,0.9102669,0.9266055,0.9398531,0.95063096,0.9841929,0.9588333,0.6374714
14,0.42928845,0.04398042,0.38812292,0.31986782,0.39949876,0.39241666,0.41456944,0.43918648,0.5057878,0.54548794,0.51453465,0.5673682,0.2559126
15,0.16776912,0.011506475,0.20498694,0.13546182,0.14876269,0.14773212,0.1342891,0.1721759,0.2976996,0.3444121,0.32888228,0.36648345,0.11902503
16,0.14498407,0.0013151079,0.26223356,0.164313,0.12666743,0.13320991,0.11765678,0.16183798,0.303672,0.35947722,0.3482458,0.38556057,0.093868606
17,0.12512636,0.0016955293,0.252739,0.16156809,0.11576937,0.12491922,0.11375735,0.15775514,0.30191737,0.35897708,0.35687283,0.3761301,0.15767421
18,0.14545314,0.0013568859,0.28794444,0.17919661,0.12583356,0.12990627,0.12253628,0.16351089,0.29997045,0.3550388,0.3452435,0.39064243,0.0999776
19,0.19894758,0.017280832,0.22634275,0.14770155,0.16883361,0.16180724,0.15046212,0.19110925,0.3211999,0.3735166,0.3621735,0.39773336,0.1533686
20,0.74260104,0.009112641,0.55830145,0.39457512,0.74858636,0.7181147,0.75789934,0.75754386,0.78363377,0.8217192,0.79906154,0.83931905,0.3109379
21,0.15736671,0.0011865365,0.29216743,0.17200874,0.13842034,0.14035955,0.12947626,0.16851485,0.33010554,0.41165313,0.40156716,0.45167077,0.10377616
22,0.2440071,0.014669219,0.2748376,0.20618063,0.22349188,0.20515329,0.20163469,0.22506455,0.32012436,0.36691234,0.3459706,0.38873544,0.1259574
23,1.0081539,0.58205336,0.32035282,0.37518808,1.0072699,0.95665586,0.9974454,1.0215429,1.0205234,1.0264609,1.0368387,1.0184233,0.97868717
24,0.4620255,0.018350566,0.4911053,0.40451685,0.45975482,0.43176576,0.44774044,0.46392637,0.5213147,0.5580645,0.5564289,0.5772192,0.29584336
25,0.12824163,0.0014836588,0.28267232,0.17722435,0.1194168,0.12917995,0.13318057,0.18138766,0.28173876,0.32126078,0.32184014,0.34982544,0.15947986
26,0.14309661,0.0016602261,0.30098736,0.19512486,0.13462837,0.14575663,0.15509923,0.19998968,0.29921296,0.34328356,0.348994,0.3831035,0.16392764
27,0.23818643,0.0032858686,0.22666968,0.15589306,0.2000237,0.19027025,0.18984337,0.2098149,0.2876717,0.33510837,0.30964112,0.36144784,0.08105658
28,0.6693348,0.018186793,0.5858249,0.4286628,0.66906995,0.6473421,0.6943336,0.70696026,0.7460089,0.7748266,0.7619752,0.7892259,0.4036022
29,0.16420385,0.0013758478,0.28562987,0.18734948,0.1437259,0.13904367,0.1435005,0.16620669,0.25536993,0.30246928,0.28976193,0.3344223,0.069567524
30,0.19316326,0.0021660842,0.16213144,0.12158931,0.16079466,0.1333648,0.11841593,0.1268335,0.17199256,0.19772272,0.19271347,0.21624163,0.07987333
31,0.15343094,0.008312538,0.30599827,0.2074481,0.14572908,0.14924826,0.16844624,0.18726012,0.2527012,0.28862754,0.28675166,0.32446054,0.07414486
32,0.17171352,0.001954779,0.32338628,0.21516742,0.1582096,0.15730375,0.17558618,0.19394286,0.2580439,0.30193797,0.2951086,0.33247676,0.07435709
33,0.16273156,0.00688926,0.33094344,0.22475797,0.14682677,0.14871156,0.17213412,0.19660848,0.2525683,0.28754574,0.28028017,0.31985268,0.089063
34,0.8684456,0.011060329,0.699065,0.5463366,0.8728839,0.8348009,0.8983535,0.8942052,0.9180459,0.9557341,0.9064302,0.97090596,0.35620284
35,0.27891794,0.04504486,0.2981385,0.21668957,0.24681254,0.231796,0.24077149,0.26107112,0.3163921,0.34731466,0.3247606,0.37103164,0.13585575
36,0.20845047,0.03342734,0.23261572,0.17218238,0.18743828,0.17875673,0.18209979,0.20324388,0.25994256,0.28499615,0.2756739,0.30590507,0.13183895
37,0.13839296,0.0041416236,0.26580554,0.1960503,0.12568258,0.12926331,0.14218268,0.16730401,0.22678062,0.25092548,0.24989142,0.27407134,0.13002713
38,0.17743556,0.0014174203,0.31905556,0.23347574,0.15746711,0.15359204,0.17474471,0.19864173,0.25156248,0.28148547,0.2828419,0.31254327,0.120009504
39,0.45043787,0.0018996916,0.2639763,0.1368168,0.4185761,0.38408834,0.4032743,0.40557668,0.43122205,0.4522447,0.41990325,0.46611342,0.15726958
40,0.19528978,0.03785817,0.20293047,0.13759862,0.17093807,0.15133022,0.1519241,0.17075878,0.21541269,0.23674814,0.23221773,0.25481603,0.10145098
41,0.40689012,0.0023713259,0.31201547,0.20437893,0.39827657,0.35447553,0.36133093,0.365567,0.3908681,0.41212723,0.40681973,0.42293218,0.14612688
42,0.4007498,0.0036167009,0.3203377,0.25635216,0.37502545,0.33935052,0.35807395,0.3663854,0.3951223,0.41805908,0.3835147,0.43206134,0.14574362
43,0.5781877,0.122241884,0.18387385,0.17354687,0.54911894,0.48417544,0.5133423,0.52521724,0.5279952,0.53704745,0.5199897,0.53995895,0.3237407
44,0.6709975,0.09354348,0.38162494,0.2652114,0.66535413,0.5919964,0.6455436,0.6665042,0.6701315,0.67748725,0.68041754,0.67767876,0.447011
45,0.40260786,0.00340889,0.20247328,0.17591022,0.3349557,0.2634593,0.26099747,0.2672161,0.27673757,0.2842646,0.25882193,0.28838933,0.1337241
46,0.39409533,0.007409147,0.31093824,0.30203572,0.33296135,0.2741812,0.28747976,0.3026781,0.3244047,0.33923706,0.29546505,0.35545173,0.19726259
47,0.60891354,0.009620144,0.4733705,0.34008074,0.6110073,0.54548144,0.5989769,0.61108893,0.624545,0.6427938,0.6261678,0.6483221,0.25678274
48,0.7451457,0.063979134,0.33379573,0.24765237,0.7256579,0.639801,0.717117,0.73619354,0.74720746,0.775956,0.74413985,0.79012275,0.3189869
49,0.26373768,0.042789724,0.15672846,0.11224578,0.22157641,0.17977852,0.17647852,0.1921811,0.21900283,0.23184085,0.22624086,0.23931372,0.11707405
