t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
39,0.43343857,0.0018075946,0.3363046,0.27350122,0.38921124,0.34977365,0.360211,0.3643263,0.3825809,0.4018624,0.37291458,0.41204903,0.16328187
40,0.4784048,0.13060279,0.30459112,0.284087,0.46560645,0.41954213,0.44388035,0.45069632,0.4738632,0.4951122,0.47460547,0.5079117,0.24999006
41,0.27067512,0.12304904,0.2009376,0.1661037,0.23731014,0.21096282,0.21195465,0.22835445,0.25539964,0.26884383,0.25920647,0.27623948,0.18749826
42,0.22854125,0.015241841,0.121519566,0.087790936,0.18072847,0.14023899,0.1237009,0.12538159,0.1434284,0.15269336,0.13942572,0.15321727,0.0492965
43,0.37010518,0.0014915867,0.26953715,0.21906674,0.32693148,0.28307918,0.28781843,0.28808972,0.3023493,0.3139681,0.29053319,0.31918746,0.10200909
44,0.31963295,0.0022466404,0.38061962,0.33035916,0.29743272,0.26201564,0.28467715,0.29522097,0.32701367,0.34612006,0.33535978,0.36712986,0.11098323
45,0.21092431,0.001385319,0.1690528,0.10903831,0.16355562,0.12784514,0.11863442,0.13235047,0.16319509,0.17618994,0.16440536,0.18344107,0.0499133
46,0.17770618,0.002201468,0.10426262,0.06522682,0.13548718,0.10351731,0.09147595,0.107475325,0.13703944,0.1470267,0.1384007,0.15080395,0.060719706
47,0.39879715,0.021479785,0.37163588,0.34314734,0.37461236,0.32560107,0.3480029,0.36566168,0.3914684,0.4096621,0.39391428,0.4210663,0.19997332
48,0.62193215,0.18410626,0.27478066,0.27039143,0.5983688,0.53158504,0.58025384,0.5959562,0.6115186,0.62697315,0.61100256,0.63516426,0.42186052
49,0.5316512,0.040267054,0.3511951,0.26057875,0.49808446,0.43652067,0.45955968,0.47311857,0.4850641,0.497095,0.47783843,0.50353897,0.2602999
