t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.050675,0.07225,0.07425,0.1234,0.203425,0.22955,0.25535,0.1719,0.1044,0.25905
1,0.050675,0.07225,0.07425,0.1234,0.203425,0.22955,0.25535,0.1719,0.1044,0.25905
2,0.050675,0.07225,0.07425,0.1234,0.203425,0.22955,0.25535,0.1719,0.1044,0.25905
3,0.050675,0.07225,0.07425,0.1234,0.203425,0.22955,0.25535,0.1719,0.1044,0.25905
4,0.048327778,0.07073889,0.06781667,0.11902222,0.22100556,0.25212222,0.2745111,0.17675556,0.10352222,0.27868888
5,0.045980554,0.06922778,0.061383333,0.114644445,0.23858611,0.27469444,0.29367223,0.1816111,0.10264444,0.29832777
6,0.043633334,0.067716666,0.05495,0.11026666,0.25616667,0.29726666,0.31283334,0.18646666,0.10176667,0.31796667
7,0.0281,0.0591,0.03475,0.0971,0.3436,0.4229,0.45285,0.1653,0.07715,0.4532
8,0.034925,0.060425,0.04,0.096975,0.2877,0.350025,0.366875,0.15255,0.07235,0.37485
9,0.07385,0.0979,0.116,0.17285,0.23265,0.27195,0.2977,0.4095,0.2692,0.3267
10,0.06955,0.0961125,0.1099,0.16685,0.246675,0.2848875,0.308725,0.3832625,0.245925,0.3334
11,0.06525,0.094325,0.1038,0.16085,0.2607,0.297825,0.31975,0.357025,0.22265,0.3401
12,0.0552,0.07895,0.0847,0.13235,0.219,0.2517,0.26575,0.3259,0.2137,0.2826
13,0.0865,0.0903,0.09175,0.12465,0.168475,0.183575,0.177,0.178,0.1144,0.194375
14,0.0609,0.08465,0.1045,0.14725,0.1968,0.2208,0.23165,0.3521,0.2345,0.2595
15,0.07345,0.09,0.09815,0.1383,0.1991,0.2274,0.2332,0.3261,0.2245,0.2579
16,0.050425,0.073575,0.08385,0.12045,0.177,0.19905,0.21275,0.295125,0.20065,0.22875
17,0.0428,0.0625,0.06745,0.1067,0.1738,0.2001,0.213525,0.28005,0.18645,0.22765
18,0.0478,0.06385,0.06645,0.1118,0.1915,0.2203,0.23835,0.259,0.15455,0.2578
19,0.0373,0.056625,0.056675,0.09995,0.1812,0.20705,0.2255625,0.24415,0.148525,0.238175
20,0.0268,0.0494,0.0469,0.0881,0.1709,0.1938,0.212775,0.2293,0.1425,0.21855
21,0.0268,0.0494,0.0469,0.0881,0.1709,0.1938,0.212775,0.2293,0.1425,0.21855
22,0.0268,0.0494,0.0469,0.0881,0.1709,0.1938,0.212775,0.2293,0.1425,0.21855
