t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.2682306,0.20648454,0.20118177,0.21027286,0.23022746,0.23767784,0.23774976,0.15220904,0.13238175,0.24067831
1,0.5944354,0.531813,0.60589707,0.63739955,0.6619804,0.6862723,0.61864364,0.4992012,0.3971738,0.70499355
2,0.4701083,0.42945376,0.48137924,0.5020404,0.53967017,0.5633302,0.5446077,0.52518606,0.45019537,0.58633816
3,0.24260002,0.20566481,0.20355253,0.22515039,0.27300087,0.29069734,0.28846204,0.11426796,0.09711612,0.3019748
4,0.4868095,0.42803723,0.45789638,0.47280544,0.4930048,0.5073648,0.4914445,0.4171431,0.3511835,0.51741487
5,0.59776556,0.5631033,0.6565439,0.7055727,0.75511557,0.77666205,0.8037656,0.803313,0.71410567,0.812681
6,0.45834762,0.42653075,0.4920369,0.5378879,0.58505774,0.61377555,0.58955294,0.5824317,0.49273193,0.64198536
7,0.5853674,0.52231747,0.5745783,0.59712785,0.61819535,0.6382685,0.6117571,0.47987294,0.38538483,0.6519826
8,0.5625766,0.5130822,0.5505936,0.5697217,0.59684926,0.6137505,0.59828067,0.25342333,0.24800006,0.6245191
9,0.50129795,0.45426804,0.4948308,0.5193618,0.54190445,0.5591531,0.5433373,0.36484012,0.26544634,0.57202256
10,0.13201873,0.11818079,0.1091307,0.15128289,0.22461545,0.25193414,0.25238517,0.21895657,0.13680409,0.2795026
11,0.104238346,0.10105937,0.06501023,0.12047883,0.300651,0.3585944,0.35787314,0.20674023,0.10062733,0.3928421
12,0.09894946,0.09329354,0.055727758,0.10495746,0.29105002,0.35427752,0.35030773,0.1710847,0.07362876,0.38425976
13,0.20150326,0.1778856,0.15168571,0.18507846,0.32008412,0.37633777,0.37154475,0.24466856,0.15052707,0.39998436
14,0.13700198,0.13130543,0.099002354,0.14760324,0.3648229,0.45444378,0.43535995,0.18061015,0.09279841,0.48979107
15,0.08407354,0.08223215,0.047303535,0.09346664,0.3154071,0.4061618,0.40653005,0.14992963,0.063768655,0.43925127
16,0.102175616,0.099636205,0.06015953,0.113435544,0.35842356,0.4531538,0.44362602,0.18021221,0.078365974,0.49409574
17,0.4639067,0.44651917,0.47412452,0.49924737,0.58148164,0.62760144,0.65690637,0.5779092,0.41731626,0.6666194
18,0.7982874,0.74615884,0.781425,0.7938483,0.81162107,0.82652307,0.8290451,0.3632221,0.38019174,0.83122987
19,0.10719182,0.10211439,0.0717108,0.122354515,0.3156637,0.39547458,0.39033562,0.18610366,0.090434045,0.4379046
20,0.10226599,0.10005475,0.06466903,0.117961854,0.30847493,0.3790906,0.366236,0.18861344,0.08341226,0.42220145
21,0.33109644,0.3173523,0.3337124,0.35531527,0.4331462,0.4796294,0.40207195,0.22788167,0.18001635,0.50842345
22,0.68770313,0.65651053,0.69652855,0.7067785,0.738685,0.7723784,0.7534709,0.60597354,0.45116654,0.7949953
23,0.5785931,0.54374546,0.5690785,0.5801279,0.61405075,0.642275,0.63835657,0.52345765,0.41865563,0.6583311
24,0.8123232,0.75641096,0.79020846,0.79054844,0.79928756,0.823898,0.7945303,0.46675867,0.31214473,0.832624
25,0.10468477,0.10234086,0.104236685,0.14132881,0.22699587,0.26401994,0.27697158,0.30847248,0.18720087,0.30951217
26,0.90336394,0.853201,0.9149052,0.9300848,0.94431585,0.9702203,0.9301739,0.43353495,0.33200744,0.97288567
27,0.11470553,0.10227539,0.09456217,0.117768206,0.18798661,0.22623442,0.21696174,0.24631442,0.1450603,0.26195782
28,0.119781844,0.112319276,0.10237501,0.1385909,0.23400731,0.27095997,0.27012384,0.3003553,0.18092875,0.30995685
29,0.91037714,0.86082816,0.9072605,0.9160194,0.92296684,0.9413462,0.92136335,0.2907056,0.27720705,0.9406237
30,0.13031657,0.11591876,0.097491845,0.12608561,0.2227577,0.26777944,0.26104268,0.26982185,0.15188977,0.3017428
31,0.13476014,0.12767527,0.11824457,0.14423253,0.23328187,0.27019697,0.26113027,0.22779658,0.14158307,0.30135858
