t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0416,0.0702,0.0808,0.1297,0.1975,0.2163,0.25835,0.2206,0.1396,0.25115
1,0.0416,0.0702,0.0808,0.1297,0.1975,0.2163,0.25835,0.2206,0.1396,0.25115
2,0.0416,0.0702,0.0808,0.1297,0.1975,0.2163,0.25835,0.2206,0.1396,0.25115
3,0.0416,0.0702,0.0808,0.1297,0.1975,0.2163,0.25835,0.2206,0.1396,0.25115
4,0.0433,0.071441665,0.073525,0.12741667,0.23283334,0.26398334,0.298725,0.224225,0.13733333,0.29318333
5,0.045,0.072683334,0.06625,0.12513334,0.26816666,0.31166667,0.3391,0.22785,0.13506667,0.33521667
6,0.0467,0.073925,0.058975,0.12285,0.3035,0.35935,0.379475,0.231475,0.1328,0.37725
7,0.033,0.06265,0.03905,0.1051,0.3519,0.4369,0.47005,0.1753,0.088,0.46
8,0.09075,0.110075,0.08325,0.1459,0.3554,0.41695,0.428475,0.23765,0.12895,0.4554
9,0.0812,0.10795,0.13505,0.1831,0.25455,0.2997,0.32475,0.3954,0.2644,0.3471
10,0.06925,0.0966875,0.1086875,0.16245,0.25625,0.29875,0.3194125,0.3513875,0.2269125,0.33825
11,0.0573,0.085425,0.082325,0.1418,0.25795,0.2978,0.314075,0.307375,0.189425,0.3294
12,0.04705,0.07275,0.0625,0.1176,0.2496,0.2894,0.30415,0.2848,0.17805,0.3183
13,0.0592,0.08725,0.08325,0.1391,0.2544,0.2909,0.29675,0.317,0.19885,0.3183
14,0.04985,0.0728,0.0855,0.1242,0.19,0.2185,0.22755,0.31885,0.2085,0.2551
15,0.062,0.07655,0.0784,0.118,0.18585,0.21855,0.2237,0.3084,0.2218,0.24605
16,0.03915,0.060475,0.0685,0.10535,0.1665,0.18795,0.197525,0.273025,0.19445,0.22115
17,0.037125,0.05475,0.058175,0.0953,0.1689,0.19445,0.2052,0.25435,0.175075,0.22135
18,0.04095,0.05625,0.05965,0.1013,0.1789,0.2149,0.22275,0.2479,0.15625,0.2511
19,0.034075,0.052775,0.0529375,0.095575,0.1714875,0.1991125,0.220275,0.2241,0.150075,0.2337125
20,0.0272,0.0493,0.046225,0.08985,0.164075,0.183325,0.2178,0.2003,0.1439,0.216325
21,0.0272,0.0493,0.046225,0.08985,0.164075,0.183325,0.2178,0.2003,0.1439,0.216325
22,0.0272,0.0493,0.046225,0.08985,0.164075,0.183325,0.2178,0.2003,0.1439,0.216325
