t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0445,0.06905,0.0663,0.1118,0.185,0.2173,0.26625,0.1317,0.0828,0.2331
1,0.0445,0.06905,0.0663,0.1118,0.185,0.2173,0.26625,0.1317,0.0828,0.2331
2,0.0445,0.06905,0.0663,0.1118,0.185,0.2173,0.26625,0.1317,0.0828,0.2331
3,0.0445,0.06905,0.0663,0.1118,0.185,0.2173,0.26625,0.1317,0.0828,0.2331
4,0.054125,0.07545,0.07605,0.11815,0.182825,0.2004,0.23675,0.138,0.089,0.213
5,0.06375,0.08185,0.0858,0.1245,0.18065,0.1835,0.20725,0.1443,0.0952,0.1929
6,0.07605,0.0925,0.07715,0.13486667,0.26036668,0.29706666,0.34906667,0.21145,0.1261,0.31966665
7,0.035075,0.06935,0.0419,0.11145,0.34865,0.42335,0.47425,0.19375,0.101575,0.44865
8,0.03515,0.0413,0.02625,0.04665,0.1236,0.1448,0.14075,0.0452,0.0241,0.1438
9,0.0633,0.07705,0.0551,0.116,0.30015,0.3687,0.39465,0.2142,0.1078,0.4076
10,0.063275,0.0834875,0.08425,0.137625,0.264575,0.315475,0.343325,0.270225,0.159725,0.3577
11,0.06325,0.089925,0.1134,0.15925,0.229,0.26225,0.292,0.32625,0.21165,0.3078
12,0.05715,0.07895,0.08835,0.1323,0.2098,0.2379,0.2577,0.3046,0.2104,0.2711
13,0.0702,0.091125,0.09685,0.1434,0.23565,0.271925,0.288625,0.3238,0.2103,0.3069
14,0.08475,0.10105,0.108075,0.14955,0.2281,0.26075,0.2811,0.3206,0.2088,0.29355
15,0.077,0.094125,0.10105,0.143,0.2268,0.26095,0.27265,0.2794,0.1992,0.2886
16,0.050725,0.0732125,0.0778,0.1179,0.185625,0.20965,0.2398,0.2591,0.1763375,0.2398
17,0.047475,0.06935,0.0724,0.1102,0.19115,0.20815,0.247775,0.245325,0.1678,0.24265
18,0.0622,0.06475,0.06305,0.0905,0.1377,0.161,0.16635,0.15245,0.111,0.1781
19,0.0441375,0.0507,0.0484,0.072625,0.11165,0.12495,0.1306125,0.110875,0.08,0.1373
20,0.026075,0.03665,0.03375,0.05475,0.0856,0.0889,0.094875,0.0693,0.049,0.0965
21,0.0762,0.06495,0.0551,0.0847,0.12925,0.15135,0.1759,0.137,0.0857,0.17455
22,0.0762,0.06495,0.0551,0.0847,0.12925,0.15135,0.1759,0.137,0.0857,0.17455
