t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.5884,0.5703,0.5881,0.5727,0.5801,0.5496,0.6312,0.0685,0.0502,0.5403
1,0.5884,0.5703,0.5881,0.5727,0.5801,0.5496,0.6312,0.0685,0.0502,0.5403
2,0.5884,0.5703,0.5881,0.5727,0.5801,0.5496,0.6312,0.0685,0.0502,0.5403
3,0.5884,0.5703,0.5881,0.5727,0.5801,0.5496,0.6312,0.0685,0.0502,0.5403
4,0.33335,0.33735,0.3584,0.36845,0.38305,0.3724,0.42105,0.1651,0.1288,0.37515
5,0.0783,0.1044,0.1287,0.1642,0.186,0.1952,0.2109,0.2617,0.2074,0.21
6,0.078666665,0.1142,0.123833336,0.15893333,0.21623333,0.2324,0.2469,0.23763333,0.1849,0.24173333
7,0.08162,0.12436,0.12514,0.18574,0.31468,0.35328,0.34926,0.26714,0.19222,0.36734
8,0.07045,0.0955,0.09145,0.14033334,0.24876666,0.28406668,0.27453333,0.2211,0.14863333,0.2976
9,0.07276667,0.09946667,0.09463333,0.1387,0.25206667,0.2974,0.28816667,0.20313333,0.13153334,0.3067
10,0.08141667,0.11482083,0.12281667,0.16975,0.26772082,0.3055375,0.30121666,0.2442,0.16523333,0.32495
11,0.090066664,0.130175,0.151,0.2008,0.283375,0.313675,0.31426665,0.28526667,0.19893333,0.3432
12,0.12515,0.14255,0.14683333,0.18093333,0.25536665,0.28756666,0.27216667,0.2742,0.21205,0.30673334
13,0.118766665,0.1593,0.20026666,0.23573333,0.27966666,0.30756667,0.30443335,0.35413334,0.27836666,0.33526668
14,0.109475,0.14955,0.195075,0.224075,0.264875,0.2877,0.28685,0.346625,0.26405,0.3119
15,0.0897,0.1176,0.138,0.1656,0.2076,0.2285,0.2244,0.273,0.2073,0.2463
16,0.068733335,0.10536667,0.1377,0.16153333,0.19673334,0.20996666,0.18996666,0.2643,0.209,0.22673333
17,0.077633336,0.11506667,0.15366666,0.17983334,0.20336667,0.22263333,0.2201,0.28033334,0.23613334,0.2358
18,0.08305,0.1149,0.13783333,0.16576667,0.1905,0.20243333,0.20286667,0.23926666,0.1917,0.2152
19,0.07205,0.108475,0.13291667,0.15970834,0.190475,0.20349167,0.20848334,0.23998334,0.18735,0.216625
20,0.06105,0.10205,0.128,0.15365,0.19045,0.20455,0.2141,0.2407,0.183,0.21805
21,0.059675,0.093125,0.1139,0.142725,0.181975,0.195675,0.19995,0.2107,0.15395,0.210225
22,0.0583,0.0842,0.0998,0.1318,0.1735,0.1868,0.1858,0.1807,0.1249,0.2024
