t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.6596355,0.5802409,0.6376766,0.6711535,0.67784935,0.6857688,0.682834,0.28719825,0.2950128,0.6852983
1,0.42632812,0.36977828,0.41152236,0.4395338,0.4561929,0.4677521,0.46942195,0.47166732,0.43683925,0.48456377
2,0.7474327,0.6859499,0.7497995,0.7616452,0.7754156,0.7946028,0.75687325,0.48266813,0.32277173,0.80106217
3,0.31513056,0.28094292,0.29927498,0.32165796,0.35729307,0.37315303,0.37486398,0.27434158,0.2615555,0.38791814
4,0.55505276,0.49350888,0.5468258,0.5625445,0.5815715,0.6009094,0.5692557,0.5355276,0.45064613,0.61680084
5,0.45280322,0.39888576,0.4289334,0.44220698,0.45935652,0.46849665,0.4501518,0.31813145,0.29605874,0.47064197
6,0.21351598,0.18450612,0.1994202,0.22124784,0.24343592,0.256301,0.24296048,0.18392539,0.1405831,0.2678811
7,0.55389047,0.49537095,0.54626596,0.5679399,0.5867837,0.6045885,0.587053,0.4748873,0.3847789,0.61636454
8,0.28554526,0.25029522,0.2659233,0.27872857,0.29826748,0.3151192,0.29026818,0.2708075,0.22751506,0.33173972
9,0.64164644,0.58328855,0.62775755,0.6388707,0.6513791,0.66935635,0.6553319,0.45964065,0.32475668,0.6778893
10,0.13222179,0.12419353,0.1387776,0.16466871,0.19235581,0.2075372,0.21518962,0.22238874,0.15456675,0.22835699
11,0.69101727,0.6380614,0.6908352,0.70225126,0.71785176,0.73828197,0.7088059,0.5259928,0.41642246,0.7487598
12,0.56647444,0.564613,0.62122464,0.6481904,0.6724528,0.69244653,0.6207155,0.5133941,0.43890256,0.71371585
13,0.85842925,0.84017473,0.9102669,0.9266055,0.9398531,0.95063096,0.9841929,0.6805075,0.5171541,0.9588333
14,0.39949876,0.39241666,0.41456944,0.43918648,0.5057878,0.54548794,0.51453465,0.38812292,0.31986782,0.5673682
15,0.14876269,0.14773212,0.1342891,0.1721759,0.2976996,0.3444121,0.32888228,0.20498694,0.13546182,0.36648345
16,0.12666743,0.13320991,0.11765678,0.16183798,0.303672,0.35947722,0.3482458,0.26223356,0.164313,0.38556057
17,0.11576937,0.12491922,0.11375735,0.15775514,0.30191737,0.35897708,0.35687283,0.252739,0.16156809,0.3761301
18,0.12583356,0.12990627,0.12253628,0.16351089,0.29997045,0.3550388,0.3452435,0.28794444,0.17919661,0.39064243
19,0.16883361,0.16180724,0.15046212,0.19110925,0.3211999,0.3735166,0.3621735,0.22634275,0.14770155,0.39773336
20,0.74858636,0.7181147,0.75789934,0.75754386,0.78363377,0.8217192,0.79906154,0.55830145,0.39457512,0.83931905
21,0.13842034,0.14035955,0.12947626,0.16851485,0.33010554,0.41165313,0.40156716,0.29216743,0.17200874,0.45167077
22,0.22349188,0.20515329,0.20163469,0.22506455,0.32012436,0.36691234,0.3459706,0.2748376,0.20618063,0.38873544
23,1.0072699,0.95665586,0.9974454,1.0215429,1.0205234,1.0264609,1.0368387,0.32035282,0.37518808,1.0184233
24,0.45975482,0.43176576,0.44774044,0.46392637,0.5213147,0.5580645,0.5564289,0.4911053,0.40451685,0.5772192
25,0.1194168,0.12917995,0.13318057,0.18138766,0.28173876,0.32126078,0.32184014,0.28267232,0.17722435,0.34982544
26,0.13462837,0.14575663,0.15509923,0.19998968,0.29921296,0.34328356,0.348994,0.30098736,0.19512486,0.3831035
27,0.2000237,0.19027025,0.18984337,0.2098149,0.2876717,0.33510837,0.30964112,0.22666968,0.15589306,0.36144784
28,0.66906995,0.6473421,0.6943336,0.70696026,0.7460089,0.7748266,0.7619752,0.5858249,0.4286628,0.7892259
29,0.1437259,0.13904367,0.1435005,0.16620669,0.25536993,0.30246928,0.28976193,0.28562987,0.18734948,0.3344223
30,0.16079466,0.1333648,0.11841593,0.1268335,0.17199256,0.19772272,0.19271347,0.16213144,0.12158931,0.21624163
31,0.14572908,0.14924826,0.16844624,0.18726012,0.2527012,0.28862754,0.28675166,0.30599827,0.2074481,0.32446054
32,0.1582096,0.15730375,0.17558618,0.19394286,0.2580439,0.30193797,0.2951086,0.32338628,0.21516742,0.33247676
