t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0622,0.0787,0.065,0.1318,0.2265,0.2479,0.27725,0.1986,0.1133,0.2727
1,0.0622,0.0787,0.065,0.1318,0.2265,0.2479,0.27725,0.1986,0.1133,0.2727
2,0.0622,0.0787,0.065,0.1318,0.2265,0.2479,0.27725,0.1986,0.1133,0.2727
3,0.04565,0.06773333,0.064383335,0.12291667,0.20925,0.23271666,0.2609,0.21298334,0.13156667,0.26396668
4,0.071075,0.08964167,0.088766664,0.14355834,0.225825,0.24975833,0.27575,0.24359167,0.16153333,0.28110832
5,0.0965,0.11155,0.11315,0.1642,0.2424,0.2668,0.2906,0.2742,0.1915,0.29825
6,0.05989,0.08424,0.05573,0.1218,0.32826,0.37854,0.40626,0.2194,0.118675,0.40085
7,0.0313,0.0693625,0.0356375,0.107575,0.388975,0.4729,0.49315,0.178025,0.082825,0.492625
8,0.0456,0.0764,0.0468,0.120375,0.37395,0.455425,0.4768,0.1963,0.0972,0.48845
9,0.046325,0.0756,0.044675,0.12495,0.3183,0.3744,0.3827,0.21015,0.10495,0.41525
10,0.0977,0.1037,0.094,0.1343,0.2162,0.2479,0.25,0.2202,0.1381,0.2747
11,0.0577125,0.0816375,0.0983625,0.143375,0.220625,0.25175,0.272875,0.324225,0.211525,0.292575
12,0.071375,0.09215,0.095275,0.143975,0.233475,0.266325,0.2747125,0.30715,0.203825,0.301575
13,0.062083334,0.081766665,0.07955,0.12578334,0.23451667,0.2711,0.28013334,0.29468334,0.17926666,0.30116665
14,0.0776625,0.0934625,0.093025,0.1348,0.21883333,0.25293332,0.2625,0.2838375,0.17757916,0.282625
15,0.05915,0.06515,0.0646,0.0853,0.1235,0.138,0.13575,0.1331,0.0983,0.1451
16,0.042125,0.062775,0.064875,0.108,0.18835,0.215125,0.236975,0.255775,0.16295,0.2444125
17,0.040116668,0.059783332,0.060233332,0.1036,0.1916,0.22375,0.24483334,0.26406667,0.16598333,0.25393334
18,0.0575,0.075958334,0.08075,0.12256667,0.193,0.22003333,0.2389,0.26781666,0.1711,0.25333333
19,0.0681,0.0722,0.05505,0.0812,0.1252,0.1373,0.14745,0.1408,0.0912,0.14885
20,0.033325,0.0589,0.062,0.110275,0.18945,0.21435,0.247325,0.2511,0.16105,0.2486
21,0.07895,0.096325,0.089925,0.136175,0.20875,0.2319,0.2691,0.17575,0.11415,0.2608
22,0.07895,0.096325,0.089925,0.136175,0.20875,0.2319,0.2691,0.17575,0.11415,0.2608
