t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0512,0.0791,0.0597,0.1353,0.3074,0.3548,0.3993,0.19355,0.104,0.3898
1,0.0512,0.0791,0.0597,0.1353,0.3074,0.3548,0.3993,0.19355,0.104,0.3898
2,0.0512,0.0791,0.0597,0.1353,0.3074,0.3548,0.3993,0.19355,0.104,0.3898
3,0.0444,0.074666664,0.06571667,0.141,0.3002,0.33933333,0.3847,0.2111,0.1207,0.37496668
4,0.06155,0.089483336,0.08780833,0.1596,0.2904,0.32481667,0.3644,0.2365,0.1426,0.35923332
5,0.0787,0.1043,0.1099,0.1782,0.2806,0.3103,0.3441,0.2619,0.1645,0.3435
6,0.037275,0.06825,0.0436875,0.10875,0.299075,0.356,0.386825,0.1897,0.1017,0.37565
7,0.03105,0.0631625,0.035175,0.10255,0.356025,0.446,0.4651375,0.17805,0.089225,0.469375
8,0.0474,0.077,0.049433332,0.12666667,0.359675,0.437975,0.46011665,0.2007875,0.112,0.4713875
9,0.082166664,0.11083333,0.10085,0.1842,0.31458333,0.36623332,0.38343334,0.33931667,0.21045,0.4169
10,0.112,0.1204,0.1116,0.1516,0.2436,0.2779,0.2828,0.2263,0.1518,0.3029
11,0.0644125,0.092,0.1066875,0.155625,0.2414,0.27545,0.2965,0.33135,0.2165,0.3101
12,0.06746667,0.08105,0.08025,0.118366666,0.1922,0.22153333,0.22526667,0.25088334,0.1626,0.24276666
13,0.058675,0.0814375,0.0876375,0.1285375,0.2074,0.237075,0.24225,0.27300835,0.1793,0.26455
14,0.08055,0.10425,0.12898333,0.17426667,0.2275,0.25575,0.27031666,0.37451667,0.2584,0.29401666
15,0.057683334,0.073233336,0.084375,0.1114,0.152,0.17186667,0.1696,0.24021667,0.1868,0.192
16,0.0556375,0.076775,0.09325,0.12955,0.180475,0.200725,0.2186375,0.308325,0.2192625,0.229025
17,0.049125,0.0708125,0.080825,0.118225,0.184325,0.209525,0.22785,0.2923,0.202575,0.234425
18,0.0646,0.07958333,0.08353333,0.11663333,0.1749,0.1957,0.21203333,0.2422,0.1627,0.21686667
19,0.045075,0.06306667,0.068791665,0.10351667,0.1743875,0.2003625,0.22455417,0.2326,0.150675,0.22798334
20,0.02555,0.04655,0.05405,0.0904,0.173875,0.205025,0.237075,0.223,0.13865,0.2391
21,0.0686,0.08625,0.0919,0.133,0.2012,0.2285,0.25995,0.1035,0.0608,0.2807
22,0.0686,0.08625,0.0919,0.133,0.2012,0.2285,0.25995,0.1035,0.0608,0.2807
