t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.58215874,0.50772864,0.55573785,0.55776846,0.57060313,0.5922958,0.5587799,0.3854936,0.29334882,0.60121936
1,0.61296433,0.537475,0.58319944,0.6124383,0.6164751,0.6255434,0.6242152,0.241586,0.25489548,0.62480265
2,0.45768934,0.3830703,0.41080403,0.4201918,0.43362564,0.45210493,0.40891376,0.281265,0.2068714,0.46264604
3,0.4010283,0.3458797,0.380196,0.405721,0.42529494,0.43823114,0.41654998,0.4020745,0.36785963,0.45457786
4,0.64936495,0.5631743,0.6299973,0.6556088,0.6681703,0.6823426,0.6516578,0.31888956,0.23478742,0.68881595
5,0.68447244,0.59946865,0.66288537,0.68565696,0.7010122,0.71887517,0.6891279,0.41655535,0.31311315,0.7255343
6,0.58232445,0.5064268,0.5432495,0.5530787,0.5645157,0.5772822,0.54482645,0.2131998,0.179817,0.5778
7,0.55680853,0.49124137,0.5390838,0.5531724,0.5690614,0.58979946,0.562394,0.5584098,0.50804687,0.601649
8,0.45622358,0.42737526,0.4711991,0.51908016,0.5930886,0.6195923,0.6143035,0.1072547,0.082608454,0.6387581
9,0.16290003,0.14556673,0.14550883,0.18963777,0.27137816,0.29298222,0.29210162,0.14327316,0.08559297,0.3115829
10,0.12805162,0.1000594,0.09527826,0.10862549,0.13231887,0.13992137,0.13999115,0.11559425,0.09666903,0.1456994
11,0.75737935,0.69730204,0.7504373,0.74712366,0.7626874,0.79044646,0.75284916,0.3661946,0.2810873,0.80001175
12,0.11436129,0.11435822,0.13196082,0.1570975,0.1929493,0.20978229,0.21654199,0.24716254,0.19284514,0.2279831
13,0.1208144,0.10777698,0.102475286,0.12044885,0.16345213,0.18198337,0.18239547,0.15747684,0.10963384,0.18830858
14,0.5334295,0.48979518,0.49598184,0.49815246,0.51550996,0.5228978,0.58225846,0.44255924,0.32853478,0.5254962
15,0.116426304,0.10198201,0.08919801,0.10462383,0.15750775,0.17545064,0.16553184,0.114608146,0.07634087,0.17690578
16,0.12260118,0.13149466,0.12401789,0.16669571,0.29885146,0.3533132,0.33993894,0.2535466,0.17509635,0.3778551
