t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.3052111,0.26206473,0.27626872,0.29641846,0.3146952,0.32478616,0.3134413,0.20764898,0.18965085,0.3299761
1,0.6161945,0.5289541,0.5752557,0.59667784,0.59768003,0.59685296,0.64210886,0.5024996,0.4241495,0.599591
2,0.4802884,0.42728496,0.46878847,0.48013398,0.5015094,0.52015203,0.49406025,0.4614864,0.4067917,0.5353002
3,0.37379605,0.33104795,0.35494068,0.37350807,0.40855473,0.4232483,0.3984616,0.10047253,0.08797406,0.4296918
4,0.37734714,0.32764247,0.34859723,0.36827296,0.39743134,0.41571438,0.391353,0.30609593,0.28630948,0.42743492
5,0.17058226,0.14090739,0.13659327,0.15373105,0.1779535,0.1865867,0.17515044,0.079221435,0.05191779,0.189158
6,0.24097924,0.21650277,0.24501954,0.27751064,0.31698135,0.33903486,0.3559388,0.35133964,0.25753418,0.35923928
7,0.2836042,0.25056812,0.2612473,0.28271675,0.31144318,0.32684398,0.33152816,0.24126095,0.19323877,0.3427951
8,0.56858444,0.51893014,0.56658566,0.5830356,0.59831876,0.61576164,0.58530605,0.4083651,0.30020392,0.62864316
9,0.27926072,0.25092903,0.2635331,0.284853,0.31591314,0.33650318,0.3309683,0.29882345,0.24837497,0.3558063
10,0.70452386,0.64582676,0.70170814,0.72205603,0.74111605,0.7570968,0.7459756,0.3559539,0.34604192,0.76813203
11,0.6447337,0.5956922,0.6635089,0.7002501,0.7258347,0.747729,0.7319218,0.4650711,0.31816024,0.76468915
12,0.34235248,0.33722746,0.3794909,0.41036862,0.45108968,0.4816611,0.42554933,0.46679747,0.41822907,0.50856996
13,0.106086686,0.08806114,0.066478595,0.08253888,0.15300746,0.17736141,0.16505507,0.09966767,0.051796343,0.18041046
14,0.118227355,0.100898884,0.07722387,0.098111816,0.20308198,0.24686286,0.23681329,0.1282119,0.06735833,0.25527668
15,0.12023919,0.10626019,0.080226146,0.110503346,0.28350964,0.39222172,0.38541576,0.1700943,0.08027428,0.4224332
16,0.92752266,0.8772566,0.92332447,0.9136298,0.92068017,0.95727396,0.91170657,0.44917,0.2972405,0.96605515
17,0.104378864,0.09088515,0.064295016,0.09058384,0.2621145,0.3776389,0.3530933,0.14304002,0.06298432,0.40585726
18,0.47277138,0.43848655,0.44602007,0.46392995,0.5156299,0.5488919,0.54216117,0.25789168,0.24595205,0.5633829
19,0.8736627,0.8212916,0.86767024,0.8653818,0.87352914,0.9039693,0.87097055,0.53414834,0.4056583,0.9151772
20,0.5779736,0.544025,0.5702956,0.57825345,0.6153094,0.64592296,0.61446196,0.40016487,0.32594928,0.66026217
21,0.101792835,0.106848665,0.1253093,0.13895097,0.16548595,0.181313,0.17714033,0.22326207,0.172217,0.19066593
