t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.16685,0.15535,0.13155,0.1624,0.2009,0.2065,0.22605,0.0553,0.0386,0.2047
1,0.16685,0.15535,0.13155,0.1624,0.2009,0.2065,0.22605,0.0553,0.0386,0.2047
2,0.16685,0.15535,0.13155,0.1624,0.2009,0.2065,0.22605,0.0553,0.0386,0.2047
3,0.085875,0.115425,0.121816665,0.18403333,0.26473334,0.2939,0.33925,0.22815,0.14715,0.33075
4,0.06785,0.09415,0.1539,0.1859,0.2101,0.2295,0.2749,0.1784,0.1078,0.2645
5,0.0805,0.10825,0.16535,0.1919,0.2121,0.2317,0.26865,0.3248,0.2325,0.2633
6,0.0929125,0.1160425,0.14194584,0.174725,0.21945,0.2375,0.259075,0.3,0.22343333,0.2623125
7,0.0506875,0.08735,0.0851125,0.146275,0.285675,0.31845,0.3383125,0.260475,0.164975,0.337375
8,0.047725,0.06695,0.05195,0.099775,0.24915,0.29475,0.3026,0.1745,0.1028,0.3066
9,0.036475,0.05295,0.0302,0.074225,0.1981,0.23405,0.283175,0.1126,0.05605,0.2311
10,0.1335,0.1445,0.1398,0.1862,0.2888,0.3277,0.3204,0.245,0.1736,0.3441
11,0.0472875,0.07205,0.0773875,0.139875,0.262875,0.30795,0.334575,0.2628,0.1454,0.351525
12,0.062366668,0.074125,0.07434167,0.11875,0.19835,0.2324,0.243375,0.23765,0.14805,0.25928333
13,0.06225,0.08156,0.09118,0.13506,0.20808,0.23859,0.23958,0.26726,0.17506,0.26942
14,0.056175,0.076475,0.104725,0.14585,0.18305,0.2075,0.21995,0.3268,0.227975,0.2416
15,0.058625,0.073225,0.0868,0.12145,0.1554,0.17225,0.179275,0.2852,0.214125,0.1952
16,0.0438,0.06413333,0.07636666,0.11336666,0.16663334,0.1852,0.1967,0.27116665,0.1949,0.2096
17,0.04235,0.06025,0.06775,0.110583335,0.18071666,0.202,0.21925,0.26026666,0.18166667,0.2276
18,0.0459,0.0673,0.0748,0.1242,0.1989,0.2261,0.2382,0.2882,0.1907,0.256
19,0.0365,0.057775,0.061775,0.106225,0.1822,0.2043,0.222125,0.245175,0.160975,0.232575
20,0.0271,0.04825,0.04875,0.08825,0.1655,0.1825,0.20605,0.20215,0.13125,0.20915
21,0.031,0.04825,0.0409,0.0873,0.1645,0.1828,0.207,0.137,0.0755,0.2116
22,0.031,0.04825,0.0409,0.0873,0.1645,0.1828,0.207,0.137,0.0755,0.2116
