t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0376,0.0655,0.0687,0.1251,0.2079,0.2324,0.2732,0.2027,0.1266,0.2563
1,0.0376,0.0655,0.0687,0.1251,0.2079,0.2324,0.2732,0.2027,0.1266,0.2563
2,0.0376,0.0655,0.0687,0.1251,0.2079,0.2324,0.2732,0.2027,0.1266,0.2563
3,0.0376,0.0655,0.0687,0.1251,0.2079,0.2324,0.2732,0.2027,0.1266,0.2563
4,0.0494,0.0672,0.0679,0.11015,0.1742,0.19405,0.21605,0.16355,0.1098,0.21185
5,0.0612,0.0689,0.0671,0.0952,0.1405,0.1557,0.1589,0.1244,0.093,0.1674
6,0.0417,0.0729,0.0739,0.1308,0.2373,0.2676,0.312,0.2696,0.169,0.2976
7,0.03035,0.0676,0.0387,0.1118,0.37455,0.455,0.48325,0.18155,0.08785,0.4844
8,0.0449,0.0741,0.0459,0.11745,0.3655,0.4491,0.46975,0.18935,0.09025,0.47985
9,0.042,0.0615,0.0431,0.1008,0.2534,0.3081,0.3319,0.1872,0.0915,0.3443
10,0.0611,0.085475,0.087175,0.144675,0.2613,0.309525,0.33675,0.262,0.1507,0.352975
11,0.0802,0.10945,0.13125,0.18855,0.2692,0.31095,0.3416,0.3368,0.2099,0.36165
12,0.15825,0.13805,0.10905,0.1114,0.148,0.14235,0.24845,0.1407,0.0699,0.13355
13,0.06425,0.08865,0.09455,0.14535,0.2402,0.27535,0.29075,0.33465,0.20155,0.3116
14,0.05815,0.07195,0.0792,0.11325,0.16935,0.19055,0.1984,0.231,0.14265,0.2149
15,0.0723,0.0851,0.088,0.11255,0.1551,0.17565,0.1858,0.1904,0.1349,0.18495
16,0.0508,0.07033333,0.0769,0.11316667,0.167875,0.1876,0.20026666,0.262875,0.1853,0.212325
17,0.037,0.05745,0.06065,0.1011,0.18185,0.21015,0.22635,0.26645,0.17515,0.23735
18,0.1449,0.1308,0.1171,0.139,0.1728,0.185,0.2047,0.1481,0.1121,0.1957
19,0.08765,0.091125,0.08295,0.114225,0.176025,0.19495,0.2156,0.176925,0.117625,0.2137
20,0.0304,0.05145,0.0488,0.08945,0.17925,0.2049,0.2265,0.20575,0.12315,0.2317
21,0.0368,0.055675,0.0522,0.095325,0.180575,0.2046,0.22585,0.182475,0.105525,0.233
22,0.0432,0.0599,0.0556,0.1012,0.1819,0.2043,0.2252,0.1592,0.0879,0.2343
