t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.5171337,0.4441596,0.48221236,0.47891998,0.4917013,0.51165366,0.4741656,0.3473275,0.28019172,0.5194673
1,0.5732622,0.50271916,0.54487956,0.5532408,0.5694295,0.58464175,0.54482543,0.2524162,0.17690358,0.5898807
2,0.5607542,0.49960467,0.5443729,0.5720026,0.5943761,0.61159885,0.58989275,0.41650775,0.3183943,0.62449294
3,0.3487634,0.30480382,0.32274047,0.3403567,0.37428913,0.38970393,0.3750161,0.14406124,0.13254353,0.39991274
4,0.3278961,0.2778777,0.28896603,0.30449703,0.32762483,0.34241375,0.32384294,0.20781451,0.14835174,0.35052484
5,0.23893405,0.20638113,0.21749517,0.23651354,0.2564658,0.2683325,0.26088437,0.092205845,0.068840586,0.28050098
6,0.21023412,0.18931466,0.20325102,0.22633755,0.24943669,0.26287454,0.25736633,0.13745952,0.10129713,0.2744022
7,0.28113163,0.25769597,0.2991524,0.33992106,0.3872642,0.41562647,0.42515463,0.42463,0.32818866,0.44789624
8,0.5603417,0.5037812,0.55911666,0.5856828,0.6123907,0.63488305,0.6177627,0.521269,0.43115884,0.652275
9,0.73232186,0.6782802,0.7584048,0.7999023,0.8228989,0.84638494,0.8269423,0.56578064,0.40823066,0.86384624
10,0.12097404,0.103677295,0.1084887,0.123640604,0.13763534,0.1487028,0.1494291,0.1704657,0.12088015,0.16270255
11,0.13838834,0.14040418,0.16529153,0.18792358,0.2106281,0.22528082,0.23035505,0.29469427,0.25716186,0.24574986
12,0.3353448,0.32047382,0.33376727,0.35915163,0.42516276,0.45485553,0.4545889,0.44087693,0.35985786,0.472864
13,0.12773518,0.11374855,0.11146739,0.12270541,0.16221246,0.18077475,0.17278098,0.16153343,0.13265535,0.18689705
14,0.19681653,0.17506386,0.1671921,0.18265736,0.23556936,0.26378152,0.2472905,0.17317025,0.13521582,0.2766855
15,0.15693891,0.16079491,0.17784233,0.19868039,0.2560999,0.28608352,0.27104238,0.2993215,0.24253036,0.30668038
16,0.12731113,0.13189925,0.1389266,0.16636507,0.24132176,0.27076855,0.26781997,0.25670183,0.20245405,0.28936824
17,0.11413767,0.10952934,0.09187439,0.12896688,0.24000406,0.28173268,0.26749924,0.19752987,0.11537585,0.30025434
18,0.13196203,0.13704614,0.12496666,0.17234936,0.3152801,0.37522522,0.36342263,0.28655693,0.19561039,0.4068034
19,0.19429171,0.1778052,0.1627414,0.19605917,0.31478402,0.36532322,0.34955373,0.1988592,0.13506773,0.38659233
20,0.111818925,0.10920834,0.07586631,0.1249724,0.33015588,0.42310962,0.3963046,0.197793,0.10000087,0.45556068
21,0.4506998,0.43444195,0.46488902,0.47572216,0.53942966,0.59017044,0.50824976,0.44671795,0.36711746,0.6171339
22,0.119704686,0.11725968,0.07912183,0.13302374,0.37378958,0.5056375,0.48811373,0.20862712,0.101624005,0.552727
23,0.28439048,0.26112607,0.2560544,0.2784008,0.3690092,0.4205086,0.40988383,0.3279977,0.26010436,0.44538325
24,0.17010434,0.16089858,0.14443569,0.18174686,0.3245203,0.39403647,0.38316497,0.25020978,0.1576827,0.42912245
25,0.49023134,0.45847443,0.46945995,0.48890507,0.5434604,0.57837045,0.5663362,0.30131513,0.275332,0.59312236
26,0.76302665,0.7264346,0.7700008,0.7667459,0.7891627,0.82114786,0.7899082,0.55036646,0.35859674,0.83472455
27,0.10046517,0.10692621,0.09848342,0.14940475,0.26308212,0.316165,0.31830308,0.1976909,0.118564114,0.35345408
28,0.14721812,0.14578098,0.16897978,0.19603878,0.25073272,0.29810148,0.29966554,0.2782373,0.17354411,0.34536108
29,0.1259354,0.12693886,0.15246104,0.1696876,0.21036033,0.24506849,0.24216942,0.33453482,0.2324743,0.28398857
30,0.15592213,0.15130202,0.17475672,0.18852733,0.23628205,0.28484294,0.27253118,0.37477463,0.25749236,0.32900557
31,0.14344847,0.14744478,0.18523708,0.20559697,0.2481824,0.285407,0.28006744,0.38940108,0.27379945,0.32908943
32,0.8556958,0.83627605,0.9077417,0.90306,0.9227107,0.95842355,0.9061957,0.47698465,0.3141155,0.97515464
33,0.89432305,0.8486611,0.9047488,0.9047883,0.91776615,0.94638693,0.9061589,0.6141354,0.48771533,0.953129
34,0.40396434,0.36890334,0.37978545,0.3751746,0.40067905,0.4266376,0.40550077,0.3841295,0.31775415,0.43738738
35,0.24830705,0.22750086,0.2295659,0.24077663,0.2811182,0.30966276,0.30361652,0.24020581,0.1865111,0.32850006
36,0.30847132,0.28251714,0.28751913,0.30598253,0.37289688,0.40900606,0.3990722,0.3133482,0.19420199,0.4370052
37,0.5360799,0.49086368,0.5207363,0.53026426,0.55110484,0.5714211,0.53440034,0.48419613,0.40815482,0.5833746
38,0.4137607,0.37329185,0.39180025,0.40014476,0.4253792,0.44445086,0.4259364,0.27329034,0.25731307,0.45583677
39,0.18935438,0.16081797,0.15611054,0.17007759,0.20024663,0.215026,0.21168521,0.17069006,0.12733203,0.22743407
40,0.3929344,0.35449854,0.364866,0.36963648,0.39526132,0.41237274,0.39900416,0.30856457,0.2033167,0.4213681
41,0.23425312,0.2044752,0.20380019,0.21978043,0.24739219,0.2622373,0.25631952,0.19950117,0.16769452,0.27235186
42,0.38218132,0.34566286,0.36448306,0.38192013,0.4144781,0.43421826,0.4120382,0.29810715,0.2272409,0.4472305
43,0.18432687,0.14231123,0.13072488,0.13253205,0.14657858,0.15871036,0.14334045,0.13839462,0.10699314,0.16336785
44,0.17789258,0.13886018,0.13266456,0.14275615,0.16882452,0.18405251,0.17861256,0.20412104,0.16207668,0.1962388
45,0.15757336,0.11684887,0.10810027,0.12082594,0.14416069,0.15934967,0.15134315,0.17020574,0.12541541,0.17067428
46,0.5920859,0.52595997,0.56030244,0.5726048,0.58007246,0.5928726,0.57442534,0.20649953,0.19634514,0.59815806
47,0.5647019,0.47312108,0.50960815,0.5174119,0.52353734,0.54011714,0.5137406,0.27417326,0.19936992,0.54649246
48,0.49443918,0.43456694,0.46085978,0.4733038,0.4877629,0.50085545,0.47466448,0.3479288,0.25663996,0.50751024
49,0.40489244,0.3395952,0.35651207,0.3723722,0.39650083,0.41122803,0.399483,0.2930937,0.2328879,0.4215146
