t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.57883275,0.50563014,0.55196625,0.557908,0.5731864,0.59238416,0.55844826,0.39638004,0.3100146,0.60242563
1,0.57645214,0.50177413,0.55644053,0.5772306,0.5901064,0.60835755,0.5690101,0.38755408,0.28509805,0.6190585
2,0.6319183,0.5474096,0.60177416,0.62508535,0.6420628,0.6506701,0.65764415,0.35754168,0.3004011,0.65326107
3,0.6560638,0.57606137,0.6223525,0.63720435,0.6488453,0.66544807,0.6321369,0.26297808,0.23069276,0.6692802
4,0.67102355,0.59707844,0.6546899,0.68936914,0.69875556,0.71437615,0.6974,0.26831943,0.29210436,0.71509415
5,0.22726807,0.19893663,0.20680547,0.22921461,0.26550788,0.28086838,0.27032492,0.20907621,0.20490693,0.29629934
6,0.5047543,0.44132695,0.47619057,0.49036425,0.5141563,0.5324218,0.5371351,0.30000174,0.22744334,0.5413696
7,0.6129865,0.5636153,0.6325841,0.65650463,0.6801711,0.69937277,0.6829719,0.61698514,0.53667986,0.7205413
8,0.43198425,0.3830957,0.4239943,0.45308152,0.47549507,0.48809537,0.44444084,0.41105565,0.3762728,0.50149125
9,0.490864,0.4293371,0.460556,0.47718802,0.49498874,0.51001036,0.4887839,0.3451958,0.27676094,0.5172613
10,0.7403957,0.67878234,0.73475164,0.7500691,0.7661232,0.7876209,0.75427777,0.48651448,0.34284487,0.796066
11,0.7542646,0.69138515,0.741306,0.73689395,0.7484327,0.7756062,0.74133646,0.43374038,0.31763914,0.7830191
12,0.41735625,0.37563327,0.39587167,0.40944448,0.43000782,0.44889563,0.38810453,0.31257913,0.2572551,0.4596096
13,0.18465237,0.17534359,0.1824593,0.20787224,0.25866905,0.2793357,0.25635397,0.19738194,0.16111125,0.29211298
14,0.15306658,0.1388554,0.11793456,0.14584213,0.27795517,0.33375788,0.3203583,0.22039692,0.13278766,0.35568967
15,0.11937887,0.1165743,0.09752246,0.13481218,0.286514,0.35247353,0.34242415,0.19703242,0.12032845,0.37185925
16,0.105048686,0.099454634,0.076922745,0.11305071,0.2924036,0.38149396,0.36033526,0.17918596,0.09896605,0.40230975
17,0.09110085,0.08875002,0.06538778,0.10219413,0.2855071,0.37728903,0.37256578,0.18042639,0.09680182,0.40056154
18,0.33190802,0.3031914,0.30869126,0.3149281,0.36615366,0.4052321,0.36941388,0.2382565,0.1782274,0.4184533
19,0.19458397,0.17812315,0.16473112,0.18617709,0.29463422,0.35234517,0.32926288,0.24250631,0.16775051,0.37577665
20,0.09888102,0.07647305,0.054722015,0.06252926,0.11406697,0.1443745,0.13033488,0.051691987,0.02519312,0.14705302
21,1.0239561,0.96729517,1.001674,1.0218573,1.0173683,1.0173533,1.0227804,0.26718202,0.31715268,0.99705476
22,0.71913785,0.690465,0.73739696,0.7535249,0.78507966,0.81453407,0.79622555,0.6071235,0.47526702,0.8299547
23,0.15282877,0.14358349,0.12902749,0.16281234,0.28581947,0.3478687,0.33257294,0.21278313,0.1304471,0.38237387
24,0.16663545,0.14433804,0.13617928,0.15364978,0.21435565,0.2440089,0.23801595,0.16546573,0.09480854,0.26094258
25,0.34028673,0.31771886,0.32696164,0.34103128,0.39192805,0.4254979,0.39843416,0.33491927,0.27902967,0.4422733
26,0.9306283,0.8795349,0.92802805,0.9310827,0.94245654,0.9615697,0.9324986,0.21378297,0.23075262,0.96074474
27,0.10151647,0.09378377,0.088585995,0.11051744,0.1696053,0.19690292,0.18967928,0.22454739,0.14082287,0.21907993
28,0.11390692,0.11275164,0.12655039,0.15107948,0.20735216,0.2410567,0.23497313,0.30401525,0.18645063,0.27718443
29,0.12907818,0.12532756,0.14211117,0.16406609,0.22024444,0.26011303,0.254028,0.3263108,0.19742185,0.30175236
30,0.11478389,0.10984945,0.12400745,0.1444223,0.1929735,0.22215673,0.21860701,0.28954926,0.17830959,0.25642577
31,0.67748356,0.63612705,0.67324805,0.67587256,0.692594,0.71599364,0.6885479,0.32749835,0.31173828,0.7252373
32,0.8566511,0.81948274,0.8782618,0.8737474,0.89475065,0.9281461,0.8769557,0.59149426,0.43332666,0.93959403
33,0.1300074,0.11611546,0.11934873,0.13363242,0.1805637,0.20988563,0.19987309,0.26994234,0.1724667,0.23781401
34,0.13635212,0.1256705,0.12613541,0.14588183,0.19575933,0.21878704,0.20618413,0.23430672,0.1730374,0.23794536
35,0.2901532,0.2672563,0.27362812,0.28478098,0.3331767,0.36525458,0.33968735,0.3185958,0.23128264,0.3843357
36,0.10325832,0.09370376,0.09149587,0.11607224,0.16859207,0.18833047,0.18586637,0.22938874,0.1609166,0.20689158
37,0.10481546,0.09229883,0.085458964,0.108446136,0.16686933,0.18897806,0.18271773,0.21951874,0.1428989,0.21104763
38,0.104908414,0.09338138,0.0952792,0.10690975,0.1396669,0.15913165,0.14788786,0.18474537,0.13914067,0.16941299
39,0.15801895,0.12242796,0.105664186,0.10849693,0.12965932,0.13966843,0.13445702,0.08793023,0.054820802,0.14200032
40,0.7147386,0.66366726,0.716617,0.7175901,0.7409841,0.7715384,0.726531,0.5131187,0.4217821,0.7862559
41,0.42349175,0.3890495,0.40862048,0.4189948,0.4471114,0.4684645,0.43713477,0.36166152,0.25647488,0.48483223
42,0.37029916,0.34120825,0.3631772,0.37463945,0.4036982,0.4246,0.38834363,0.3407615,0.28303397,0.43798822
43,0.114834115,0.09411963,0.0871788,0.103594415,0.1412274,0.15091598,0.14155568,0.1524465,0.11548891,0.15825929
44,0.44985905,0.38567573,0.40587956,0.4065017,0.4216768,0.43920663,0.41952294,0.39059615,0.33063447,0.4454874
45,0.15102805,0.123679765,0.11576524,0.13588972,0.17602019,0.18833427,0.18077289,0.15711416,0.1185705,0.19570316
46,0.5084881,0.44147852,0.46126226,0.44897017,0.46121207,0.48404717,0.43401316,0.23471768,0.12745544,0.4897304
47,0.5803366,0.51097035,0.5586262,0.57706404,0.58571625,0.5981689,0.5616255,0.34009457,0.31174266,0.5984414
48,0.20307733,0.16274165,0.15552044,0.16919656,0.19861603,0.2138421,0.19283958,0.18689312,0.15920846,0.22646937
49,0.5503034,0.48325282,0.52079254,0.53205585,0.5461206,0.5614727,0.54265386,0.29397827,0.2551375,0.5674954
