t,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
0,0.0532,0.0788,0.0612,0.1373,0.2593,0.2944,0.3336,0.1833,0.1001,0.3276
1,0.0532,0.0788,0.0612,0.1373,0.2593,0.2944,0.3336,0.1833,0.1001,0.3276
2,0.0532,0.0788,0.0612,0.1373,0.2593,0.2944,0.3336,0.1833,0.1001,0.3276
3,0.0439,0.07226667,0.06476667,0.13936667,0.24906667,0.28053334,0.32333332,0.20653333,0.12066667,0.31426665
4,0.0747,0.09808333,0.094558336,0.16190833,0.25755835,0.28631666,0.32116666,0.24296667,0.15223333,0.31948334
5,0.1055,0.1239,0.12435,0.18445,0.26605,0.2921,0.319,0.2794,0.1838,0.3247
6,0.0415,0.072325,0.045125,0.118725,0.31705,0.367525,0.396575,0.222675,0.1141,0.396625
7,0.030675,0.06705,0.032825,0.107475,0.376675,0.459825,0.48575,0.18715,0.08685,0.485475
8,0.047966667,0.07666667,0.0481,0.12106667,0.3657,0.44583333,0.4697,0.20515,0.09933333,0.47913334
9,0.0379,0.0705,0.0385,0.119,0.3531,0.4213,0.4303,0.2105,0.0989,0.46575
10,0.1288,0.1381,0.1254,0.1717,0.2558,0.2897,0.2923,0.2336,0.1558,0.3151
11,0.05575,0.080525,0.103,0.15095,0.214825,0.24615,0.272125,0.3532,0.22415,0.2922
12,0.059075,0.07695,0.0802,0.12395,0.1987,0.22803333,0.23773333,0.289625,0.189125,0.25943333
13,0.054166667,0.07553333,0.0756,0.124066666,0.22656667,0.25883332,0.2718,0.31313333,0.1897,0.29223335
14,0.0762,0.0985,0.101225,0.14963333,0.23183334,0.26373333,0.28215,0.33563334,0.21066667,0.29926667
15,0.0418,0.053575,0.05285,0.0752,0.11145,0.12315,0.12395,0.1221,0.07935,0.12915
16,0.0394,0.05785,0.058875,0.09855,0.176575,0.20155,0.2204,0.240475,0.146525,0.229325
17,0.037966665,0.0578,0.05886667,0.10496667,0.19123334,0.2189,0.24166666,0.26526666,0.16303334,0.25023332
18,0.043366667,0.057266667,0.057,0.09493333,0.16713333,0.19013333,0.2061,0.2139,0.124466665,0.2186
19,0.107,0.1108,0.0999,0.1255,0.1558,0.1675,0.1758,0.186,0.1431,0.1832
20,0.0275,0.0495,0.0528,0.0926,0.1658,0.18685,0.2156,0.2254,0.138,0.21985
21,0.0575,0.07465,0.07345,0.11965,0.19205,0.2174,0.2488,0.1584,0.0953,0.24485
22,0.0575,0.07465,0.07345,0.11965,0.19205,0.2174,0.2488,0.1584,0.0953,0.24485
