t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.48710424,0.48180547,0.49383703,0.4833506,0.44356036,0.49425474,0.4881992,0.491867,0.49109766,0.49196205,0.49054265,0.49326566,0.49451008,0.4852681,0.5660624,0.48325673,0.48087564,0.49281424,0.49428165,0.54645056,0.47796243,0.5489829,0.48546842,0.49335456,0.5020471,0.49315777,0.4930802,0.4928684,0.48122433,0.5750846,0.49969846,0.587177
1,0.4755607,0.462637,0.4889827,0.46605408,0.3690081,0.48900357,0.47606176,0.48366833,0.4838892,0.48335654,0.48064375,0.48680872,0.48908228,0.47070855,0.5734099,0.4662945,0.46119177,0.48548815,0.4889235,0.58610153,0.45469314,0.5667781,0.46965617,0.48753914,0.51094496,0.4874373,0.48744214,0.48606044,0.46328193,0.6713424,0.51115876,0.66443944
2,0.47476912,0.46453008,0.4875991,0.47037923,0.37821096,0.4880128,0.4760369,0.4833004,0.4821427,0.48378348,0.48094413,0.48641747,0.48801348,0.47087875,0.6446892,0.4704725,0.46410784,0.485207,0.4879694,0.60231537,0.45830673,0.553428,0.46942794,0.48643756,0.49707496,0.4863383,0.48558888,0.48571253,0.4616173,0.66945815,0.4768744,0.7049294
3,0.46701825,0.45233047,0.48356873,0.4588452,0.35253233,0.48451573,0.46829095,0.47810695,0.47631964,0.47920287,0.47470194,0.48209018,0.48449603,0.46135482,0.6680382,0.45896053,0.4510052,0.48084185,0.48468322,0.6241522,0.44535184,0.580269,0.45968038,0.4824717,0.52625084,0.48203942,0.48145533,0.48176202,0.45278957,0.6973788,0.47758475,0.7441758
4,0.47470924,0.45798096,0.4882536,0.46548998,0.3277547,0.48760328,0.4733001,0.48130527,0.48309025,0.47954568,0.47796637,0.48450276,0.48723835,0.46714154,0.5523335,0.46360347,0.45731074,0.4829756,0.48732206,0.5900423,0.44808555,0.5293401,0.46471748,0.48587993,0.48552075,0.4861644,0.48556966,0.48399964,0.45532128,0.73410666,0.52139604,0.706851
5,0.4859119,0.48060217,0.49161905,0.487492,0.42487013,0.49217713,0.48601443,0.4897723,0.48893973,0.48950586,0.48880184,0.4905241,0.49170157,0.48353472,0.59564286,0.48525774,0.48122343,0.49079448,0.4921012,0.57220984,0.47666347,0.5122264,0.4814907,0.49075875,0.4867354,0.49102414,0.48973638,0.49091843,0.47363916,0.6314378,0.47491512,0.67853624
6,0.48854166,0.48230425,0.49318713,0.48676097,0.4431251,0.4938764,0.48790926,0.49159998,0.49101704,0.49153885,0.4902543,0.4919864,0.49340934,0.48584282,0.5453884,0.48520172,0.48202956,0.49260142,0.49390563,0.5527133,0.47961915,0.5152627,0.4841939,0.49275622,0.52139837,0.4928173,0.49209478,0.49298865,0.4808829,0.59428203,0.49340266,0.6335734
7,0.48858297,0.4845166,0.49342436,0.4895286,0.4375174,0.49392262,0.4890153,0.49202564,0.49122798,0.49164292,0.4911881,0.49252808,0.49363685,0.48700106,0.58417076,0.48800892,0.48497844,0.49280798,0.49364075,0.5600329,0.48087397,0.5168535,0.4856568,0.49277237,0.4808501,0.49320406,0.49198535,0.49274656,0.4784331,0.6044569,0.47971416,0.6474371
8,0.47906116,0.46893203,0.4889123,0.47344214,0.40663797,0.48982263,0.479378,0.4856694,0.48462054,0.48625478,0.48333403,0.48756197,0.48966897,0.4751809,0.5951005,0.47277364,0.46791312,0.48763764,0.48995924,0.58526444,0.4644531,0.5539838,0.47367343,0.48830697,0.5257829,0.48817626,0.48755354,0.48805305,0.46907353,0.63438874,0.48728392,0.6833692
9,0.49649096,0.49555895,0.49709398,0.499593,0.47535345,0.49771324,0.4964093,0.4971529,0.49669135,0.49668628,0.49709845,0.4964237,0.49685195,0.49617076,0.5272282,0.4973412,0.49616253,0.49738336,0.49725875,0.53124285,0.49387783,0.49973866,0.4945166,0.49683666,0.48816875,0.4974116,0.49634385,0.49728087,0.48977217,0.5583962,0.49028215,0.5984226
