t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.020100253,0.031179953,0.016495943,0.038362116,0.18989275,0.008141854,0.025849674,0.012805633,0.022285597,0.010011901,1.9594561e-05,0.019583313,-0.0030551562,-0.010168184,-0.031434786,0.027609814,0.024272315,0.0062922677,-0.0069910716,-0.15030363,0.041735575,-0.16704476,-0.0069257496,0.019797573,0.049290497,0.030718138,0.042865895,-0.001977462,0.021286575,-0.069470346,0.20867443,0.12091693
1,-0.053956855,0.07145914,0.036410395,0.09348699,0.4190299,0.021209173,0.055228967,0.023428101,0.0410674,0.010779306,-0.0035611966,0.031163171,0.0039515295,-0.018529795,0.12763013,0.05746036,0.05910184,0.01355659,-0.01265636,-0.5197376,0.15526396,-0.42248768,-0.009444894,0.042536415,-0.028294772,0.061104663,0.09196031,-0.004992384,0.040363386,-0.16280463,0.42227015,0.010175771
2,-0.04778792,0.060066357,0.023654105,0.07634683,0.30746335,0.017481286,0.052194234,0.013136064,0.03589923,0.02442505,-0.009331014,0.02832757,-0.0101108495,-0.028252713,0.16557582,0.035686515,0.048771437,0.01920052,-0.022902368,-0.46038562,0.14038084,-0.3640694,-0.011988438,0.032279994,0.013149219,0.055544235,0.074873134,-0.006563931,0.03144544,-0.11480337,0.38454074,0.28517884
3,-0.059220288,0.071721934,0.029546553,0.09761923,0.3143534,0.02007115,0.06299764,0.015954124,0.04235291,0.025795603,-0.011506598,0.03960424,-0.013767975,-0.039209593,0.117585115,0.046064727,0.058716156,0.02418254,-0.029606694,-0.53614295,0.19131766,-0.36822018,-0.023291416,0.040558197,-0.05313668,0.07115047,0.097999536,-0.008882118,0.042457677,-0.12638372,0.4739611,0.239356
4,-0.07784279,0.10196968,0.040950958,0.13394828,0.50575095,0.037620932,0.07793244,0.030862778,0.038439278,0.006191659,-0.0031721466,0.031248238,0.018520365,-0.0236197,0.28828254,0.063164786,0.08115807,0.015314982,-0.015418103,-0.7451504,0.09684356,-0.5095112,-0.0018850394,0.058919296,-0.044619627,0.07818639,0.11713158,-0.012230377,0.041116722,-0.16501877,0.52454257,0.08039065
5,-0.03864833,0.03368463,0.004791206,0.0514135,0.14808802,0.013992266,0.031870686,-0.003000749,0.0048593013,0.01035705,-0.013316065,0.00826248,-6.270455e-05,-0.029817088,0.21384622,0.0008283954,0.025695324,0.01390275,-0.020407697,-0.4068373,-0.058522925,-0.1834306,-0.0119114565,0.021311095,0.050017502,0.032100648,0.04173893,-0.012448805,0.0049402164,-0.037533436,0.23787831,0.29212934
6,-0.030761678,0.022310272,0.004699922,0.04415202,0.057477362,0.010054386,0.021837126,-0.002787547,-0.0016258941,-0.0010606978,-0.011296259,0.007265406,0.004308702,-0.024527851,0.07994533,0.0032732422,0.01736555,0.012948261,-0.01513948,-0.3406459,-0.02373071,-0.12853126,-0.01747957,0.018978605,-0.05226586,0.026285736,0.038645525,-0.010383599,0.006789759,-0.099709414,0.2014132,0.11653361
7,-0.030963924,0.03357751,0.010791448,0.04349153,0.12757924,0.014421791,0.031875692,0.005310154,0.014096511,0.014259195,-0.0071421005,0.010083823,0.0035841968,-0.01695688,0.15581538,0.008656406,0.026294017,0.013237508,-0.012155552,-0.3040077,-0.022626322,-0.22400159,-0.0047176913,0.02361155,0.07107273,0.030421609,0.0390035,-0.0070594447,0.011038757,-0.090501994,0.20198408,0.25542045
8,-0.046077937,0.04635452,0.019796683,0.0693447,0.14650062,0.016352573,0.041741714,0.007918778,0.021993127,0.012078804,-0.009918167,0.023119781,0.00034764316,-0.027869932,0.080167696,0.026063994,0.039150007,0.01661547,-0.018125633,-0.40640348,0.06608856,-0.2442867,-0.017064916,0.03222814,-0.042228054,0.04658081,0.06667606,-0.009618442,0.024913391,-0.10027453,0.31980854,0.058486514
9,-0.024849128,0.0110023,0.0007578087,0.022763398,0.06416114,0.008589487,0.012097697,-0.0027583274,-0.0013499308,0.0009224077,-0.007442756,-0.00032508932,0.011978426,-0.014218751,0.17573921,-0.006327611,0.00813577,0.0069210734,-0.0043864287,-0.19101448,-0.10578603,-0.022167306,-0.009343045,0.016916018,0.040469278,0.013545264,0.018692616,-0.006616069,-0.0029533918,0.0017170741,0.08441264,0.2052837
10,-0.063308276,0.08322503,0.042414896,0.09042511,0.36057773,0.028904345,0.069918804,0.02249844,0.06134403,0.040114142,-0.008241793,0.030680025,0.0023478132,-0.020876331,0.3266149,0.046709415,0.07072493,0.022662677,-0.014246401,-0.5119628,0.15481248,-0.5356358,0.0039613005,0.050264787,0.1318807,0.065912075,0.08853266,-0.00854864,0.039660607,-0.1896107,0.4055208,0.22487277
11,-0.07956885,0.08946934,0.04176639,0.10789693,0.36264494,0.033594243,0.07558634,0.019329697,0.059004314,0.038507055,-0.01211921,0.03551237,0.004623408,-0.033495113,0.33692083,0.04718387,0.07637055,0.023923358,-0.017705511,-0.6044618,0.15593421,-0.53305316,-0.0050446633,0.05663148,0.05286615,0.074600205,0.10260323,-0.012267279,0.041104633,-0.21168461,0.46162885,0.20134671
