t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.2878059,0.0028036905,0.124678485,0.10965552,0.2391261,0.18196803,0.17293568,0.18322039,0.20496407,0.21354821,0.20588422,0.21744011,0.08785004
1,0.5155793,0.09815763,0.18390648,0.17862903,0.48883575,0.4261916,0.4574417,0.4790475,0.4935319,0.50405735,0.49913663,0.51121974,0.33544207
2,0.5227656,0.024974937,0.37291986,0.3037346,0.48862097,0.42249894,0.4594789,0.4580198,0.47202724,0.4922942,0.46115276,0.50365764,0.15443863
3,0.6316544,0.029847728,0.3860096,0.2523858,0.59462285,0.52242064,0.5510796,0.5468927,0.56750107,0.59964144,0.5594709,0.6127304,0.15683469
4,0.68702847,0.26123413,0.26431853,0.28580156,0.66229033,0.5845584,0.63981825,0.67278016,0.6839016,0.6930164,0.68701136,0.6973279,0.56772995
5,0.37687063,0.0059888866,0.30742946,0.2527221,0.32473058,0.28422445,0.29885378,0.3193158,0.35018295,0.36511046,0.34201404,0.37683183,0.19049497
6,0.2645391,0.022147143,0.0970175,0.08483816,0.24128595,0.20815638,0.20715259,0.2335302,0.28752178,0.3073441,0.30267185,0.32099786,0.14624575
7,0.3184266,0.002497227,0.24899335,0.23186338,0.26967788,0.23050077,0.23125637,0.25495276,0.30447373,0.3247113,0.30761474,0.34135213,0.13782871
8,0.40522784,0.0030542328,0.19764969,0.11521603,0.37524197,0.3236485,0.34079388,0.35681874,0.3843526,0.39985952,0.38509762,0.40933606,0.17365077
9,0.17116186,0.0018315888,0.16115537,0.08252346,0.12972665,0.108113095,0.08314877,0.13248868,0.2310357,0.26311016,0.27200764,0.29726008,0.13713028
10,0.5554817,0.0057073603,0.48134702,0.40921867,0.52984565,0.47376475,0.51687765,0.5344047,0.55742276,0.57366306,0.5577366,0.5869935,0.28300366
11,0.6275175,0.0050173476,0.48886427,0.390874,0.60016936,0.53574187,0.5897055,0.6125145,0.6332716,0.65413266,0.6281783,0.6664399,0.3166
