t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.03472024,0.05319993,0.031411577,0.058525603,0.12225489,0.016542198,0.03937422,0.020806473,0.04060901,0.013630147,0.0009909124,0.023539782,0.00505307,-0.0065865577,0.041587897,0.04041402,0.042357553,0.0073067932,-0.0020884871,-0.16945884,0.11230918,-0.17210187,0.0019170238,0.032359947,-0.0015282698,0.04293629,0.06298427,-0.000963635,0.030167762,-0.07704119,0.33352768,0.0069297412
1,-0.048833895,0.06574747,0.036215577,0.07205557,0.15337665,0.021647228,0.051297694,0.019260745,0.051567983,0.02540813,-0.004512471,0.02611224,0.0033959234,-0.015137063,0.10206371,0.04119825,0.05332805,0.013084266,-0.0068366537,-0.23343746,0.13069881,-0.29265308,0.0015783496,0.039921943,0.014456705,0.05365997,0.07487804,-0.0030315502,0.031610757,-0.15187243,0.40279824,0.07018977
2,-0.05601844,0.06821812,0.03550864,0.08792572,0.14091234,0.023656763,0.055085883,0.018088367,0.044505086,0.017397046,-0.0069140363,0.032780066,0.002451708,-0.025592288,0.082342796,0.043805182,0.054156106,0.015108751,-0.013606727,-0.33020884,0.13741976,-0.29006165,-0.010262424,0.043797694,-0.020037852,0.06340228,0.09199074,-0.006635993,0.03586174,-0.19719604,0.52937675,0.06627155
3,-0.060945544,0.07217026,0.037106283,0.096979216,0.11884373,0.024050996,0.06084509,0.016252998,0.047721017,0.020161726,-0.010165794,0.039475378,-0.0043244716,-0.034222648,0.09117687,0.044802986,0.057811532,0.018787906,-0.02173525,-0.35918152,0.16379623,-0.30265728,-0.016685331,0.04567945,-0.03026243,0.07160736,0.10332024,-0.008691084,0.03951157,-0.20175335,0.60949516,0.07234934
4,-0.06730262,0.08477911,0.039554145,0.112945974,0.136588,0.0314766,0.06805263,0.023086255,0.044154275,0.012001468,-0.0059306948,0.037295915,0.0073389146,-0.029329259,0.09693874,0.050492764,0.06567957,0.015637398,-0.017586041,-0.41627893,0.12264618,-0.30149698,-0.009025438,0.052455008,-0.03162132,0.075775295,0.111588,-0.009992404,0.03852384,-0.21447809,0.65802443,0.07207309
5,-0.05572103,0.06688909,0.026969494,0.088315725,0.11820859,0.025745247,0.05676735,0.012902081,0.034178935,0.01795968,-0.009138217,0.027150696,0.0019793364,-0.030252999,0.13899627,0.030235238,0.05194833,0.016403882,-0.019032214,-0.3733054,0.06851617,-0.29657102,-0.007840969,0.04069496,-0.0012203418,0.059995167,0.08347011,-0.01011623,0.024921604,-0.19413172,0.47769022,0.16357295
6,-0.041439816,0.03832142,0.011143813,0.05590253,0.057421353,0.018193351,0.0347659,0.0015954543,0.012960338,0.0106020635,-0.010017693,0.0114605315,0.005963804,-0.025573064,0.16680554,0.0057733636,0.029568085,0.011798337,-0.013634017,-0.29934815,-0.030313615,-0.15196647,-0.0077318335,0.026900452,0.025538415,0.035109468,0.047683157,-0.010799145,0.0071469285,-0.09559413,0.2667386,0.18419941
7,-0.033516306,0.028488815,0.009039655,0.039029445,0.041291356,0.014875842,0.026140057,-0.00017814874,0.010720919,0.010865284,-0.009012778,0.0051915543,0.0081676915,-0.018826677,0.18399723,-0.0002957906,0.022569519,0.010133833,-0.008485466,-0.23793474,-0.053174645,-0.121092945,-0.0030430662,0.022438474,0.061422102,0.02448998,0.032222673,-0.010548985,0.0027092043,-0.05583373,0.16784075,0.16881226
8,-0.03184481,0.027515642,0.011101174,0.030809518,0.05114193,0.015345538,0.024723835,0.00165673,0.015849268,0.01600142,-0.007394471,0.003128008,0.010671014,-0.013010781,0.2154644,-0.00055223855,0.022655185,0.009325813,-0.0034721135,-0.18882415,-0.057515986,-0.128769,0.0037869075,0.023094852,0.10160194,0.020696595,0.02576172,-0.010188961,0.0024213113,-0.03651076,0.11973876,0.17591077
9,-0.045419484,0.051823907,0.025979333,0.050383657,0.127355,0.025692757,0.042891905,0.012828635,0.037089612,0.028176427,-0.0048704315,0.009330703,0.016516022,-0.008349353,0.24488133,0.016382592,0.043203697,0.011941976,0.0006975472,-0.23819095,-0.0017130487,-0.27203193,0.015567752,0.037250645,0.103107944,0.034562983,0.04506494,-0.010517994,0.01375015,-0.09839809,0.20894584,0.18823287
10,-0.06241478,0.07215768,0.039185625,0.07846502,0.1285468,0.032528147,0.06062182,0.018249346,0.054598197,0.03627505,-0.0075838873,0.024553053,0.013078608,-0.018891858,0.22754611,0.033640265,0.06006539,0.017629724,-0.005374192,-0.28611568,0.08053051,-0.33082217,0.008879424,0.050740592,0.06248119,0.05696919,0.07781329,-0.012728771,0.029766018,-0.1721366,0.40247142,0.1788277
