t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.7289214,0.15790802,0.3933506,0.32765523,0.6968917,0.6126981,0.6978064,0.7285819,0.7484637,0.7620897,0.73483753,0.770874,0.49288362
1,0.6250711,0.0057021086,0.5766729,0.52592963,0.5864241,0.5336293,0.61395687,0.6519843,0.6800782,0.70444345,0.65039253,0.7247637,0.34663156
2,0.7069002,0.09959805,0.24801646,0.22115012,0.67045635,0.596938,0.6549742,0.6693592,0.6880444,0.7061993,0.66312265,0.71521133,0.35539877
3,0.7800523,0.0074509326,0.48791102,0.30235702,0.8042531,0.7329338,0.784256,0.7868127,0.7911673,0.8001766,0.824467,0.80079216,0.3253197
4,0.7681802,0.2971288,0.31814623,0.32464308,0.76986456,0.6869032,0.75767994,0.7940248,0.80377,0.80872434,0.81064427,0.80672455,0.61748004
5,0.5038869,0.0030029197,0.4897953,0.43375167,0.47538978,0.4207673,0.45844737,0.47519976,0.50055027,0.51948005,0.49949077,0.53440785,0.20253065
6,0.1747661,0.0024128142,0.21927153,0.13355896,0.13884477,0.11648597,0.11988792,0.15710819,0.20012912,0.22484063,0.23034817,0.26119342,0.13856067
7,0.15558103,0.0025010544,0.22645183,0.14303853,0.12774469,0.11122928,0.1183747,0.15156382,0.1902674,0.21161094,0.21966788,0.24345888,0.14992717
8,0.16515377,0.00422352,0.30105287,0.19966002,0.13352685,0.11631768,0.12613666,0.15932085,0.1992597,0.22192822,0.23014355,0.2548609,0.15695694
9,0.40759125,0.10015604,0.49485824,0.4532837,0.40036756,0.3622532,0.4050661,0.43480834,0.46585384,0.47664437,0.4932227,0.49760705,0.37879586
10,0.70938486,0.021849392,0.5792035,0.46983424,0.6954828,0.6394017,0.6919938,0.70839065,0.722232,0.74197453,0.723364,0.7522135,0.4162591
11,0.33902505,0.0024251419,0.39353943,0.32967266,0.2852996,0.27211785,0.30082408,0.33521298,0.38458183,0.4159142,0.37598053,0.4478935,0.20501493
12,0.14834371,0.002652879,0.19881573,0.109537385,0.1184,0.10591087,0.08966334,0.11950187,0.21908921,0.26160154,0.23315036,0.28791964,0.07985183
13,0.48655832,0.109318495,0.3637176,0.3006201,0.47801656,0.4507005,0.4653691,0.48602313,0.5432288,0.57262164,0.5593515,0.5882221,0.31166026
14,0.1316309,0.0112544205,0.2223639,0.12061273,0.10981606,0.109759614,0.09062457,0.13333763,0.26558387,0.31652215,0.31340948,0.3460022,0.13986935
15,0.13550714,0.0011716139,0.23489717,0.117902674,0.11052198,0.110879,0.08723755,0.13363107,0.28161517,0.33467746,0.32242116,0.36586812,0.09348824
16,0.115319386,0.0014745337,0.20684282,0.10196505,0.092440955,0.0926193,0.06663625,0.11297161,0.2713335,0.32913178,0.32831427,0.35960072,0.14708678
17,0.41718954,0.08180114,0.20494899,0.17379732,0.39880493,0.3647605,0.36953235,0.37869447,0.43562165,0.4716718,0.45382214,0.48569018,0.23045547
18,0.13462935,0.002124412,0.21789846,0.09863795,0.102715895,0.1029708,0.06639148,0.11987429,0.31352067,0.38700715,0.37206498,0.4280173,0.07684339
19,0.26785117,0.0020773723,0.34936294,0.21950397,0.23157169,0.21822084,0.21854809,0.24856229,0.35735887,0.41854462,0.39691705,0.46079165,0.13481112
20,1.0565033,0.58548903,0.32190982,0.37648574,1.0295559,0.98626965,1.0318115,1.0567057,1.0553163,1.0633838,1.0590752,1.0576481,1.0278395
21,0.7773416,0.026156854,0.5502715,0.39684469,0.76239514,0.7203426,0.75908726,0.75814056,0.7754208,0.811293,0.7774368,0.8249305,0.3129622
22,0.4691489,0.016253447,0.45431915,0.37747145,0.4372793,0.4100846,0.424655,0.443291,0.4997274,0.53695214,0.5210352,0.5606894,0.29537907
23,0.93832886,0.0033510139,0.6097291,0.42442304,0.93703246,0.89507973,0.953331,0.9442209,0.96010625,0.9962032,0.94973755,1.0091304,0.36619958
24,0.11076075,0.0013009732,0.19879319,0.097159855,0.08462725,0.083706245,0.06163877,0.10883666,0.24318199,0.2921437,0.29976106,0.33202198,0.1404283
25,0.7058268,0.013862612,0.34693432,0.23909992,0.69069326,0.62927485,0.65179634,0.662098,0.678171,0.70186794,0.6897238,0.7105085,0.41225126
26,0.17534526,0.0031345498,0.1046498,0.07154599,0.11667421,0.09517275,0.079741366,0.09809343,0.15657194,0.1915141,0.14882393,0.21216926,0.059612572
27,0.22011055,0.04520811,0.21423942,0.1421575,0.16945167,0.162127,0.15713082,0.18438816,0.26465985,0.30076984,0.2801953,0.32944453,0.13393268
28,0.171676,0.005919546,0.26404178,0.1390146,0.13984056,0.12654899,0.114031225,0.14038225,0.22280268,0.2729093,0.2621802,0.3151681,0.048429523
29,0.60425895,0.03812871,0.505277,0.39819553,0.59276664,0.5558208,0.5772781,0.60100704,0.6459819,0.6777086,0.66442966,0.695999,0.43784508
30,0.24207267,0.076018736,0.19778475,0.14077534,0.21364744,0.19518378,0.194718,0.21628661,0.26860422,0.29805914,0.29433715,0.32486942,0.17798735
31,0.14056666,0.0011755069,0.2786481,0.1566759,0.111406,0.100654826,0.105203,0.12813495,0.17702231,0.20964372,0.21153706,0.24990073,0.05717575
32,0.7232875,0.09066099,0.37068564,0.3395786,0.7091549,0.6674902,0.71127605,0.7157747,0.73429924,0.7554138,0.7303342,0.76505226,0.4240228
33,0.8236593,0.015275507,0.597235,0.47433788,0.8127696,0.76841223,0.81712633,0.81221086,0.8263513,0.85569954,0.80834216,0.8644562,0.34853357
34,0.14479214,0.0014177616,0.22472563,0.12908605,0.117597565,0.10072798,0.09472303,0.11048435,0.15358938,0.18113771,0.17627697,0.21008946,0.039299674
35,0.6339231,0.003092863,0.5432704,0.39205644,0.65592414,0.6294754,0.6747936,0.6676346,0.7033787,0.73474175,0.71679723,0.754695,0.22634931
36,0.13726035,0.0014980535,0.29046035,0.18167292,0.10963463,0.09756691,0.105616055,0.1254035,0.15999627,0.18225093,0.18501428,0.2159472,0.071537554
37,0.1549404,0.0022628547,0.27420267,0.16606456,0.12750097,0.1120489,0.118306816,0.14266132,0.18429294,0.2119476,0.21938168,0.24731793,0.1025545
38,0.21780244,0.056027412,0.23110025,0.16224048,0.19089383,0.16911857,0.16738597,0.18789157,0.23149571,0.2569009,0.25327787,0.28249756,0.13637818
39,0.13909376,0.0012832116,0.27622968,0.16888078,0.1145343,0.09962628,0.10475734,0.12206983,0.1558759,0.18069115,0.1806846,0.21055694,0.06049789
