t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.43047798,0.439529,0.46747756,0.4347346,0.26690578,0.4555531,0.44555736,0.450883,0.4605673,0.45418602,0.45059982,0.46147153,0.46078524,0.4361604,0.20303875,0.4214703,0.42675462,0.4599175,0.46214774,0.27266642,0.44000864,0.31980115,0.43868288,0.45594206,0.19950476,0.45901322,0.45984656,0.44771186,0.46429998,0.37772742,0.5825016,0.23440894
1,0.43375814,0.43974826,0.46746644,0.43677917,0.2877065,0.45608753,0.44601116,0.45145315,0.46062168,0.4546609,0.45147213,0.4616028,0.4621684,0.43681192,0.22809562,0.41703084,0.42598876,0.46041366,0.46349815,0.30588257,0.4370457,0.312028,0.44006136,0.45571432,0.21396454,0.4590927,0.45932126,0.44934005,0.465617,0.3660204,0.58132344,0.24877262
2,0.4442751,0.45070937,0.4710803,0.4519147,0.28523773,0.4627788,0.45646858,0.4583868,0.46515578,0.46064767,0.45930532,0.46643808,0.46740234,0.44872957,0.23999326,0.43663582,0.4417377,0.46655092,0.46751884,0.25460514,0.44168445,0.36159927,0.4508358,0.46143866,0.22990707,0.4637929,0.46335998,0.45501232,0.46886522,0.4016021,0.5575042,0.26133028
3,0.438019,0.44605398,0.47079423,0.4443067,0.2363458,0.45694697,0.45083213,0.4519844,0.46535462,0.4555684,0.45272976,0.46334264,0.46362078,0.43920797,0.17670313,0.42035633,0.42989147,0.46464464,0.4641369,0.28253925,0.41798085,0.29714406,0.44481167,0.45659465,0.15670227,0.46152383,0.46005854,0.44856438,0.4662223,0.35406074,0.57593983,0.22081257
4,0.47714695,0.47784656,0.48492774,0.48256162,0.40143776,0.48210946,0.48078942,0.47979033,0.4828187,0.4805486,0.48076692,0.48243308,0.48454133,0.47673094,0.3563106,0.46774566,0.4728668,0.48360252,0.4842076,0.37344208,0.4731199,0.4144878,0.47924802,0.4798283,0.36144948,0.4813146,0.47948894,0.47820243,0.48454547,0.45008624,0.524689,0.37748122
5,0.44409522,0.44967926,0.47058237,0.4500341,0.29778838,0.46179268,0.45530003,0.45766032,0.46519023,0.45987624,0.45792386,0.46554744,0.46647123,0.44708797,0.24040386,0.43269268,0.43919346,0.46534553,0.46696258,0.28423896,0.4400765,0.3450833,0.4503499,0.46059436,0.23050576,0.46342593,0.46281016,0.45449322,0.4685075,0.396093,0.56286955,0.25173652
6,0.49497437,0.49425614,0.4934554,0.499583,0.46525145,0.4938347,0.49549446,0.49282256,0.49350697,0.49272063,0.4936025,0.4927127,0.49434,0.49378592,0.43154564,0.48998684,0.49271756,0.49391344,0.49370262,0.4261339,0.48969164,0.4665148,0.4955852,0.49169737,0.44391897,0.49240953,0.49058884,0.4916106,0.4935193,0.49268317,0.50387776,0.43684316
7,0.4901529,0.49088505,0.49287683,0.4937299,0.44802803,0.49183536,0.4922721,0.4908448,0.49238732,0.49082124,0.49115315,0.49157307,0.49262878,0.49003688,0.41548672,0.486759,0.4889117,0.4926036,0.49219266,0.41732663,0.49093062,0.46274167,0.49160385,0.49050117,0.432298,0.49113002,0.4899897,0.48960283,0.4921097,0.4861241,0.5104637,0.4305388
8,0.42741698,0.43722847,0.46484613,0.4348047,0.23157953,0.45227298,0.44383863,0.44723648,0.45790294,0.45025447,0.4472209,0.4582165,0.4579483,0.43355775,0.17376898,0.42015612,0.42498365,0.45781392,0.45846018,0.22237605,0.42401052,0.31106737,0.43621498,0.45226097,0.16902292,0.45544913,0.45557362,0.44277632,0.46049908,0.3759046,0.5785897,0.19204235
9,0.4466865,0.45251074,0.4721177,0.45444152,0.27845314,0.4634807,0.4583119,0.45895717,0.467038,0.46155176,0.4598905,0.4670604,0.46804935,0.4503033,0.22612856,0.43849686,0.44372118,0.46785697,0.4679789,0.25246742,0.43990624,0.35616967,0.45254064,0.4622229,0.2238865,0.4645615,0.4636006,0.45571205,0.469048,0.40933642,0.5547932,0.2424225
10,0.40080407,0.41025048,0.4500419,0.4083028,0.17828186,0.4333761,0.4203268,0.42589825,0.4401375,0.431017,0.42627886,0.44114915,0.44192904,0.40667045,0.12347068,0.38266468,0.39267486,0.44029275,0.44326323,0.17806478,0.39229205,0.24660006,0.41066834,0.43265256,0.10836766,0.4372041,0.43707457,0.4216342,0.44608685,0.32034445,0.6105289,0.12741485
11,0.44242233,0.44650123,0.4698138,0.4481303,0.2664087,0.4588677,0.45265558,0.45371002,0.46452013,0.45733786,0.45478532,0.463402,0.465002,0.44300243,0.21125248,0.4238398,0.43335927,0.464668,0.4655401,0.28071326,0.42683536,0.3194024,0.4473305,0.457386,0.19200674,0.46125224,0.45957017,0.45119652,0.46699974,0.373297,0.5674843,0.23035933
12,0.4923166,0.48980752,0.49091682,0.49690163,0.45581114,0.49146673,0.49233982,0.489782,0.49029166,0.4901309,0.49107754,0.48995787,0.4925651,0.4906429,0.43152502,0.48450282,0.4885042,0.49170044,0.49196792,0.4002047,0.48922443,0.4694868,0.49225304,0.48857853,0.43953434,0.48914564,0.48706073,0.4890914,0.49149588,0.48679212,0.5061431,0.43194515
13,0.49368382,0.49488923,0.49455276,0.4980159,0.44233668,0.4936995,0.49554408,0.49315605,0.49460456,0.49273717,0.49347278,0.49363464,0.49423876,0.49376935,0.41948488,0.49223033,0.4930219,0.49488193,0.49337822,0.41036472,0.48334494,0.46990606,0.49510443,0.49247393,0.42328116,0.49353614,0.49229094,0.49095026,0.4934563,0.49076456,0.50437826,0.4187878
14,0.49586594,0.49702236,0.49589914,0.4996106,0.45985976,0.49545062,0.49740618,0.495176,0.49638438,0.49484906,0.4951754,0.49536937,0.49551716,0.49610478,0.43202123,0.49558192,0.4955027,0.4961365,0.49473408,0.42915934,0.4869171,0.46849817,0.49701056,0.49457464,0.444709,0.4955003,0.49442014,0.49318144,0.49497333,0.5000077,0.5027183,0.42360452
