t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.46456698,0.46680754,0.4980877,0.44546697,0.37973684,0.4683035,0.46873525,0.45869994,0.4860441,0.4766878,0.4638907,0.4918169,0.48042485,0.4633079,0.65657353,0.47394946,0.4506029,0.48729694,0.4842182,0.6268533,0.55697227,0.5818204,0.46073198,0.48330483,0.6450355,0.4904577,0.48930308,0.47465828,0.4775443,0.57583094,0.42740676,0.59548336
1,0.47589853,0.4774579,0.50727427,0.45416778,0.3650124,0.47003683,0.4752507,0.46331623,0.49879426,0.480286,0.4675259,0.49696335,0.48365682,0.47038114,0.6536408,0.48106426,0.4574854,0.49400586,0.4879988,0.63821226,0.55172074,0.58031726,0.46580762,0.48788744,0.6094956,0.49790242,0.4958635,0.47819448,0.4809962,0.55710375,0.43735445,0.55886436
2,0.47028437,0.47233322,0.49648815,0.45712122,0.41663992,0.4728845,0.47424623,0.46661404,0.48775303,0.48114526,0.47009462,0.4914015,0.4822731,0.47086394,0.6224452,0.478157,0.46031058,0.4876208,0.48566353,0.6043128,0.5475116,0.57499856,0.4672099,0.48434782,0.62066674,0.48976812,0.48836702,0.4790094,0.4810364,0.5610455,0.43483737,0.5804548
3,0.47994795,0.4813835,0.4976762,0.4725832,0.4167718,0.47997612,0.48129556,0.4760985,0.4915944,0.48565173,0.47832394,0.49255455,0.48675087,0.47869673,0.623611,0.4865066,0.47320905,0.4913712,0.48892447,0.60777414,0.5468586,0.55086607,0.47628382,0.48876813,0.6102429,0.49137014,0.49119738,0.48480064,0.48515564,0.5661163,0.45344505,0.5739331
4,0.4613414,0.4638807,0.49955088,0.43923748,0.37013552,0.46192816,0.46517938,0.4528748,0.48791292,0.473907,0.4578229,0.49026233,0.47655165,0.4601293,0.6746028,0.47076434,0.4438076,0.4850951,0.4815785,0.6513497,0.5620965,0.60393703,0.45496193,0.48032472,0.64953405,0.4898843,0.48778418,0.47082567,0.47399405,0.5749194,0.41424876,0.59457695
5,0.4554204,0.45849794,0.49562103,0.43438277,0.36842915,0.4588193,0.4607002,0.44920656,0.48247814,0.47106427,0.45428294,0.48679844,0.4734313,0.4558285,0.6891329,0.46723056,0.439229,0.48131952,0.47869012,0.6626003,0.5704495,0.61107314,0.45062095,0.47692895,0.67375815,0.48542926,0.48355514,0.46790755,0.4707757,0.5915194,0.4047108,0.6164382
6,0.4649267,0.4661926,0.49894235,0.4443341,0.38971537,0.4647998,0.4678841,0.45674634,0.48826605,0.47647905,0.4612222,0.49077344,0.47805026,0.46385634,0.6499977,0.4726942,0.44855037,0.48608455,0.48268414,0.63229394,0.554887,0.5973063,0.45838436,0.4812198,0.63402975,0.4902649,0.4876792,0.47326678,0.476192,0.5633859,0.4194996,0.58166546
7,0.47034553,0.47127965,0.49538395,0.45933062,0.38553962,0.4714995,0.47211653,0.4651435,0.48558208,0.47927266,0.4685855,0.4889393,0.48093826,0.46859717,0.6693659,0.47976267,0.46078628,0.48735842,0.48370525,0.6449821,0.5660205,0.56962776,0.46539867,0.483515,0.6575757,0.48693985,0.4864176,0.47808504,0.47833332,0.5938244,0.4338292,0.6044959
8,0.467745,0.47077316,0.49841088,0.44990435,0.4104668,0.46790248,0.47106162,0.46220416,0.49009758,0.47906697,0.46517667,0.4902159,0.47962326,0.4687429,0.63102376,0.47557604,0.4538032,0.48585966,0.48445055,0.6159091,0.5410724,0.59166425,0.4632849,0.4828817,0.6098743,0.49110943,0.48916087,0.47580615,0.47839853,0.5458389,0.42796186,0.5650868
9,0.4936109,0.49414176,0.4995718,0.4912986,0.47115767,0.49021408,0.4930321,0.49092776,0.4986741,0.49508235,0.49085638,0.4958846,0.49311134,0.49302462,0.5514955,0.4954771,0.4900387,0.4963018,0.49460083,0.54684824,0.5166609,0.5284995,0.4902233,0.49465296,0.54230845,0.49652058,0.49599156,0.49382102,0.49392262,0.5183217,0.47899067,0.5196521
10,0.4965127,0.4957571,0.49947056,0.4947374,0.47902673,0.49383155,0.4955525,0.49380976,0.49851698,0.49662822,0.49399742,0.49725103,0.49569178,0.4951617,0.5339282,0.49680498,0.49369368,0.49770904,0.49624988,0.5340909,0.5143792,0.517672,0.49372622,0.4963885,0.53221786,0.4975418,0.49707443,0.49596235,0.4960603,0.51748115,0.48639125,0.5167817
11,0.44747242,0.45056504,0.4952409,0.4196241,0.3511946,0.45274433,0.45378196,0.4399835,0.47874406,0.46593693,0.44657072,0.48577434,0.47016576,0.44759724,0.70033646,0.46000636,0.42714033,0.47852346,0.47616962,0.6713547,0.5745332,0.6278611,0.44282952,0.47379786,0.68945724,0.48489568,0.48252442,0.46222866,0.4667024,0.59695673,0.39165846,0.6273803
12,0.49945068,0.49926394,0.49981898,0.5010948,0.47195247,0.4957693,0.49740642,0.49727467,0.49982065,0.4978319,0.4965531,0.49706292,0.49679682,0.497742,0.5504377,0.50082475,0.49872842,0.49904504,0.49690175,0.5467146,0.5184121,0.5084264,0.4963859,0.49783066,0.5377319,0.49719098,0.49754307,0.49800557,0.4965548,0.52687174,0.49214977,0.5202054
13,0.4954578,0.49529177,0.49914244,0.4943074,0.4765942,0.4940579,0.49526122,0.49370146,0.49791092,0.49647263,0.4938682,0.49740064,0.49593732,0.49463746,0.54136235,0.496884,0.4934337,0.49761638,0.49619645,0.53480464,0.5152032,0.51500976,0.49345264,0.49675876,0.53596973,0.49725816,0.49726364,0.49615946,0.49580407,0.5193407,0.48677927,0.52046454
14,0.47180182,0.47323707,0.497788,0.45818147,0.39359188,0.4734133,0.4741892,0.4665968,0.48848873,0.48049232,0.4699902,0.49142683,0.4832409,0.47035813,0.65080434,0.47990653,0.46077126,0.488724,0.48597896,0.626202,0.5547093,0.5671625,0.46781844,0.48583287,0.62982064,0.4905677,0.49004272,0.47934958,0.4802078,0.57565075,0.44083908,0.58514357
15,0.4951484,0.4948915,0.49933463,0.49386692,0.4805747,0.49364755,0.49522066,0.49337655,0.49839187,0.49684078,0.49355066,0.49765292,0.49560523,0.49477014,0.5389221,0.49661958,0.49300933,0.49752712,0.49606818,0.5321897,0.5133917,0.51628095,0.4927942,0.49662393,0.53142965,0.4973446,0.49708155,0.49614212,0.49581665,0.5135627,0.48555356,0.51623535
16,0.49672282,0.49775332,0.4993289,0.49721584,0.46869147,0.49491966,0.4961649,0.49561173,0.49863747,0.4970517,0.4952927,0.49713168,0.49638554,0.49575466,0.5529696,0.4991352,0.4958792,0.49830157,0.49663627,0.5386662,0.51489925,0.5101315,0.49497882,0.4977867,0.5427396,0.49749315,0.49842533,0.4970985,0.49629545,0.5217877,0.49062914,0.5220498
17,0.47517413,0.47725055,0.4970415,0.46550408,0.40495303,0.47695282,0.47776285,0.47171542,0.48942903,0.48366287,0.47435045,0.49162534,0.484844,0.47437885,0.64295965,0.48345113,0.46711874,0.48978668,0.48721802,0.61468256,0.5486842,0.55543643,0.4720063,0.48775843,0.62418044,0.49084064,0.4910789,0.48237187,0.4829786,0.5679657,0.44886798,0.58025676
